Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533675600.0 1.0 76 95 175 NA NA 169 370 292 NA NA 1831 580 944 NA NA 1147 675 1599 NA NA
1533675600.0 10001.0 NA 125 353 65 0 NA 388 455 113 0 NA 525 1536 328 1235 NA 984 2831 464 1751
1533675600.0 10002.0 NA 130 350 75 0 NA 388 456 113 0 NA 511 1547 307 1165 NA 712 1920 433 1274
1533675600.0 10003.0 NA 127 345 72 0 NA 381 461 112 0 NA 555 1710 247 1191 NA 968 2645 578 1335
1533675600.0 10004.0 NA 125 344 74 0 NA 388 494 113 0 NA 580 1573 332 1183 NA 793 2941 477 1702
1533675600.0 10005.0 NA 126 353 65 0 NA 381 462 113 0 NA 515 1525 318 1191 NA 868 2949 431 1307
1533675600.0 10007.0 NA 129 339 65 0 NA 388 489 113 0 NA 583 1608 255 1201 NA 836 2779 1039 1351
1533675600.0 10008.0 NA 127 340 66 0 NA 388 459 113 0 NA 592 1602 340 1203 NA 814 2678 455 1437
1533675600.0 10009.0 NA 125 348 66 0 NA 381 464 113 0 NA 585 1588 328 1196 NA 986 2357 473 1681
1533675600.0 1001.2 NA 357 129 0 NA NA 546 180 0 NA NA 20777 2186 115 NA NA 7344 2570 626 NA
1533675600.0 10024.0 NA 135 365 67 0 NA 389 469 114 0 NA 637 1798 352 1234 NA 1262 1881 771 1684
1533675600.0 10024.1 NA 140 186 0 NA NA 389 266 0 NA NA 634 709 301 NA NA 1390 2072 702 NA
1533675600.0 10024.2 NA 135 361 0 NA NA 389 474 0 NA NA 650 1795 1233 NA NA 1483 2304 1907 NA
1533675600.0 10024.3 NA 140 178 0 NA NA 381 257 0 NA NA 608 744 270 NA NA 1131 1207 661 NA
1533675600.0 10024.4 NA 139 360 0 NA NA 389 475 0 NA NA 685 1785 1203 NA NA 1226 2169 1488 NA
1533675600.0 10024.5 NA 142 85 0 NA NA 389 181 0 NA NA 595 433 119 NA NA 638 1495 364 NA
1533675600.0 10026.0 NA 145 374 73 0 NA 381 489 115 0 NA 658 2071 347 1218 NA 682 3081 507 1407
1533675600.0 10042.0 NA 135 355 75 0 NA 385 460 114 0 NA 539 1645 240 1191 NA 646 2191 461 1293
1533675600.0 10059.0 NA 143 370 68 0 NA 388 484 115 0 NA 699 2202 248 1287 NA 1215 2728 522 1831
1533675600.0 10071.0 NA 139 363 72 0 NA 389 470 114 0 NA 655 1758 320 1198 NA 945 1935 425 1312
1533675600.0 101.0 82 NA NA NA NA 148 NA NA NA NA 802 NA NA NA NA 1161 NA NA NA NA
1533675600.0 1010.0 NA 30 35 0 NA NA 73 87 0 NA NA 168 215 177 NA NA 1204 424 427 NA
1533675600.0 102.0 85 NA NA NA NA 148 NA NA NA NA 720 NA NA NA NA 1205 NA NA NA NA
1533675600.0 1020.0 NA 36 24 0 36 NA 108 62 0 110 NA 317 150 97 283 NA 1288 922 625 620
1533675600.0 10224.0 NA 298 607 0 NA NA 401 870 0 NA NA 2738 4042 1244 NA NA 3626 3594 1390 NA
1533675600.0 10225.0 NA 280 603 0 NA NA 419 834 0 NA NA 2613 3442 1146 NA NA 2646 2712 1548 NA
1533675600.0 103.0 79 93 253 NA NA 156 363 352 NA NA 1440 439 1260 NA NA 1355 584 1618 NA NA
1533675600.0 1040.1 NA 76 27 0 NA NA 131 66 0 NA NA 702 148 92 NA NA 1916 323 297 NA
1533675600.0 10424.0 NA 144 360 0 NA NA 389 478 0 NA NA 544 1651 1146 NA NA 936 2678 1513 NA
1533675600.0 105.0 86 98 29 NA NA 169 363 67 NA NA 1791 448 115 NA NA 968 522 436 NA NA
1533675600.0 106.0 46 0 0 NA NA 93 0 0 NA NA 790 208 1082 NA NA 1145 287 1520 NA NA
1533675600.0 107.0 96 95 258 NA NA 189 363 353 NA NA 2651 510 1345 NA NA 1441 626 1757 NA NA
1533675600.0 108.0 97 97 264 NA NA 188 363 367 NA NA 3479 568 1471 NA NA 2189 794 1855 NA NA
1533675600.0 10801.0 NA 241 376 74 0 NA 490 503 127 0 NA 1352 1619 353 1991 NA 1664 3244 820 2343
1533675600.0 10802.0 NA 222 374 82 0 NA 484 499 125 0 NA 1492 1638 464 1985 NA 1975 2960 753 2508
1533675600.0 10803.0 NA 247 379 76 0 NA 477 523 125 0 NA 1469 1641 441 1960 NA 2229 3075 781 2264
1533675600.0 10804.0 NA 235 376 76 0 NA 487 494 126 0 NA 1353 1602 436 1967 NA 2361 3417 708 2288
1533675600.0 10805.0 NA 243 376 77 0 NA 479 524 125 0 NA 1423 1641 461 1941 NA 2053 2599 632 2241
1533675600.0 10806.0 NA 239 376 82 0 NA 477 485 126 0 NA 1426 1580 410 1950 NA 2190 3044 467 2489
1533675600.0 10807.0 NA 219 375 89 0 NA 483 527 136 0 NA 1464 1732 375 1962 NA 2658 3264 747 2216
1533675600.0 10808.0 NA 240 384 86 0 NA 476 498 137 0 NA 1387 1711 369 1969 NA 2359 2740 832 2494
1533675600.0 10809.0 NA 241 381 87 0 NA 484 487 136 0 NA 1415 1738 401 1978 NA 1595 2840 1062 2414
1533675600.0 10823.0 NA 238 375 84 0 NA 469 527 125 0 NA 1470 1633 475 1973 NA 2215 2766 756 2214
1533675600.0 10824.1 NA 259 189 0 NA NA 485 282 0 NA NA 1504 746 273 NA NA 2054 1127 543 NA
1533675600.0 10824.5 NA 249 97 0 NA NA 473 195 0 NA NA 1520 464 112 NA NA 2449 1422 554 NA
1533675600.0 10824.6 NA 262 389 93 0 NA 476 521 137 0 NA 1507 1828 368 2067 NA 1880 2838 559 2279
1533675600.0 10859.0 NA 273 397 85 0 NA 483 528 136 0 NA 1635 2439 467 2019 NA 1962 3358 1065 2466
1533675600.0 10871.0 NA 255 394 92 0 NA 484 540 137 0 NA 1608 1866 390 1987 NA 2486 3173 767 2267
1533675600.0 109.0 100 99 260 NA NA 190 363 368 NA NA 3237 560 1405 NA NA 1745 986 1758 NA NA
1533675600.0 110.0 62 90 254 NA NA 119 362 343 NA NA 884 435 1230 NA NA 737 936 1770 NA NA
1533675600.0 11024.0 NA 469 757 0 NA NA 645 1057 0 NA NA 5179 5002 1944 NA NA 4771 3085 2736 NA
1533675600.0 11024.6 NA 446 733 0 NA NA 645 1088 0 NA NA 5262 5052 2006 NA NA 6529 3034 2324 NA
1533675600.0 11025.0 NA 478 717 0 NA NA 642 972 0 NA NA 5091 4898 1929 NA NA 4558 3264 2276 NA
1533675600.0 111.0 84 94 254 NA NA 164 370 355 NA NA 1741 373 1231 NA NA 1483 609 1680 NA NA
1533675600.0 112.0 99 95 257 NA NA 187 370 361 NA NA 2176 504 1350 NA NA 1766 621 1965 NA NA
1533675600.0 11224.0 NA 256 390 0 NA NA 477 532 0 NA NA 1481 1823 1998 NA NA 3008 3835 2507 NA
1533675600.0 11224.6 NA 242 387 0 NA NA 469 510 0 NA NA 1591 1859 2008 NA NA 3158 2911 2232 NA
1533675600.0 113.0 97 96 260 NA NA 192 370 368 NA NA 2412 467 1293 NA NA 1644 539 1503 NA NA
1533675600.0 114.0 105 90 261 NA NA 193 371 357 NA NA 2724 586 1445 NA NA 1845 831 1970 NA NA
1533675600.0 115.0 101 98 263 NA NA 193 363 361 NA NA 2482 476 1337 NA NA 1816 539 1694 NA NA
1533675600.0 116.0 106 99 262 NA NA 196 370 362 NA NA 3322 473 1371 NA NA 1962 539 1718 NA NA
1533675600.0 117.0 106 94 264 NA NA 195 363 357 NA NA 3890 536 1388 NA NA 2204 902 1611 NA NA
1533675600.0 118.0 101 99 270 NA NA 191 363 362 NA NA 3757 595 1447 NA NA 2093 984 1900 NA NA
1533675600.0 119.0 97 96 259 NA NA 187 370 354 NA NA 2691 537 1319 NA NA 1735 1003 2615 NA NA
1533675600.0 12.0 NA 118 279 0 NA NA 371 375 0 NA NA 2156 3154 561 NA NA 1363 2785 880 NA
1533675600.0 120.0 65 87 254 NA NA 133 370 345 NA NA 878 507 1266 NA NA 812 629 1939 NA NA
1533675600.0 12024.0 67 144 357 0 NA 119 387 478 0 NA 3200 754 1751 1230 NA 2720 1125 2121 1876 NA
1533675600.0 121.0 103 97 264 NA NA 191 363 363 NA NA 3762 582 1463 NA NA 2213 1070 1841 NA NA
1533675600.0 122.0 48 0 0 NA NA 93 0 0 NA NA 759 227 1078 NA NA 627 395 1723 NA NA
1533675600.0 123.1 312 NA NA NA NA 491 NA NA NA NA 1170 NA NA NA NA 1636 NA NA NA NA
1533675600.0 123.2 312 NA NA NA NA 499 NA NA NA NA 1049 NA NA NA NA 1035 NA NA NA NA
1533675600.0 123.3 229 NA NA NA NA 490 NA NA NA NA 885 NA NA NA NA 1007 NA NA NA NA
1533675600.0 124.1 292 NA NA NA NA 491 NA NA NA NA 876 NA NA NA NA 1002 NA NA NA NA
1533675600.0 124.2 271 NA NA NA NA 499 NA NA NA NA 1096 NA NA NA NA 1335 NA NA NA NA
1533675600.0 124.4 287 NA NA NA NA 491 NA NA NA NA 958 NA NA NA NA 1394 NA NA NA NA
1533675600.0 124.5 298 NA NA NA NA 490 NA NA NA NA 861 NA NA NA NA 1082 NA NA NA NA
1533675600.0 124.6 221 NA NA NA NA 490 NA NA NA NA 870 NA NA NA NA 980 NA NA NA NA
1533675600.0 125.0 103 91 262 NA NA 191 370 356 NA NA 3003 556 1434 NA NA 1822 750 1938 NA NA
