Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532815200.0 1.0 66 73 153 NA NA NA NA NA 114 136 233 NA NA NA NA NA 1507 429 997 NA NA NA NA NA 1756 639 1448 NA NA NA NA NA
1532815200.0 10.0 NA 104 229 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2011 2999 508 NA NA NA NA NA 2414 4110 819 NA NA NA NA
1532815200.0 1000.0 NA 245 152 0 51 NA NA NA NA 319 245 0 85 NA NA NA NA 2318 1220 607 250 NA NA NA NA 2759 1913 856 503 NA NA NA
1532815200.0 10001.0 NA 175 295 73 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1168 1686 379 1820 NA NA NA NA 1487 2188 679 2197 NA NA NA
1532815200.0 10002.0 NA 175 308 73 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1196 1660 357 1839 NA NA NA NA 1666 2114 626 2192 NA NA NA
1532815200.0 10003.0 NA 159 299 81 0 NA NA NA NA 241 408 115 0 NA NA NA NA 1252 1690 356 1850 NA NA NA NA 2308 2322 597 2310 NA NA NA
1532815200.0 10004.0 NA 153 299 80 0 NA NA NA NA 238 408 115 0 NA NA NA NA 1192 1680 362 1920 NA NA NA NA 2311 2752 682 2255 NA NA NA
1532815200.0 10005.0 NA 173 294 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1154 1689 361 1816 NA NA NA NA 1434 2190 627 2144 NA NA NA
1532815200.0 10006.0 NA 156 302 81 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1186 1641 368 1811 NA NA NA NA 1690 2083 666 2270 NA NA NA
1532815200.0 10007.0 NA 175 298 86 0 NA NA NA NA 239 408 128 0 NA NA NA NA 1220 1728 392 1934 NA NA NA NA 1687 2197 693 2152 NA NA NA
