Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533675600.0 1010.0 NA 27 35 0 NA 69 81 0 NA 174 210 197 NA 473 548 751
1533675600.0 1020.0 NA 36 NA NA NA 102 NA NA NA 326 NA NA NA 649 NA NA
1533675600.0 103.0 50 0 0 NA 86 0 0 NA 387 135 1130 NA 619 419 1775 NA
1533675600.0 1030.0 NA 142 44 0 NA 243 80 0 NA 12080 369 128 NA 13281 742 397
1533675600.0 105.0 61 73 25 NA 114 136 62 NA 1430 379 97 NA 1618 634 224 NA
1533675600.0 106.0 43 0 0 NA 86 0 0 NA 394 136 1114 NA 640 449 1636 NA
1533675600.0 109.0 NA 75 NA NA NA 136 NA NA NA 400 NA NA NA 613 NA NA
1533675600.0 110.0 50 72 219 NA 95 136 292 NA 495 375 1300 NA 689 741 1911 NA
1533675600.0 114.0 64 75 220 NA 116 136 297 NA 2940 403 1509 NA 3269 631 2282 NA
1533675600.0 117.0 63 77 221 NA 116 136 298 NA 3982 406 1490 NA 4289 694 2086 NA
1533675600.0 118.0 62 77 222 NA 117 136 299 NA 4063 423 1541 NA 4390 651 2114 NA
1533675600.0 119.0 61 76 219 NA 115 136 296 NA 2581 393 1380 NA 2973 672 2096 NA
1533675600.0 121.0 63 79 220 NA 117 136 298 NA 3826 442 1558 NA 4063 652 2118 NA
1533675600.0 124.5 187 NA NA NA 254 NA NA NA 899 NA NA NA 1812 NA NA NA
1533675600.0 128.0 56 71 215 NA 94 136 291 NA 414 366 1323 NA 629 589 1980 NA
1533675600.0 129.0 52 72 214 NA 94 136 291 NA 427 362 1319 NA 644 620 1965 NA
1533675600.0 131.0 52 80 217 NA 104 136 293 NA 994 360 1345 NA 1216 590 1958 NA
1533675600.0 1325.5 NA 141 0 NA NA 207 0 NA NA 3201 252 NA NA 3836 641 NA
1533675600.0 1325.7 NA 105 0 NA NA 170 0 NA NA 2748 273 NA NA 5214 856 NA
1533675600.0 1325.8 NA 113 0 NA NA 170 0 NA NA 3669 234 NA NA 4447 719 NA
1533675600.0 133.0 62 80 225 NA 118 136 301 NA 4861 442 1645 NA 5340 678 2360 NA
1533675600.0 135.8 83 NA NA NA 143 NA NA NA 572 NA NA NA 1379 NA NA NA
1533675600.0 136.761 NA 75 302 0 NA 115 405 0 NA 642 25119 943 NA 1180 27272 1371
1533675600.0 136.7611 NA 144 0 NA NA 212 0 NA NA 4237 153 NA NA 4936 500 NA
1533675600.0 136.7721 NA 140 0 NA NA 208 0 NA NA 3863 164 NA NA 4663 528 NA
1533675600.0 136.7722 NA 111 0 NA NA 174 0 NA NA 1609 159 NA NA 2298 521 NA
1533675600.0 136.7801 NA 94 0 NA NA 144 0 NA NA 497 257 NA NA 1082 656 NA
1533675600.0 136.7802 NA 98 0 NA NA 151 0 NA NA 493 289 NA NA 1139 567 NA
1533675600.0 136.8311 NA 135 0 NA NA 209 0 NA NA 2822 174 NA NA 3425 447 NA
1533675600.0 140.0 76 83 176 0 125 136 235 0 4455 407 893 307 5225 719 1554 481
1533675600.0 140.51 NA 34 183 0 NA 73 243 0 NA 458 1804 313 NA 1434 2262 536
1533675600.0 140.52 NA 194 179 0 NA 271 238 0 NA 2800 2002 336 NA 3681 2598 629
1533675600.0 140.53 NA 220 0 NA NA 308 0 NA NA 4496 380 NA NA 5298 675 NA
1533675600.0 145.0 73 87 174 0 118 138 236 0 3259 416 940 322 4134 798 1578 635
1533675600.0 148.0 54 86 269 0 93 146 382 0 629 288 2049 1315 961 600 2965 1632
1533675600.0 149.0 54 94 279 0 101 146 382 0 1069 361 2112 1365 1394 943 3020 1689
1533675600.0 150.0 70 100 197 0 116 146 287 0 3000 395 1093 520 3854 915 1565 787
1533675600.0 150.1 NA 97 188 0 NA 154 286 0 NA 300 1077 528 NA 727 1593 710
1533675600.0 150.2 NA 93 184 0 NA 154 286 0 NA 369 999 543 NA 930 1592 825
1533675600.0 150.3 NA 98 184 0 NA 154 286 0 NA 355 1066 529 NA 1082 1574 825
1533675600.0 203.0 NA 99 248 0 NA 153 336 0 NA 1012 2449 569 NA 1532 2980 858
1533675600.0 205.0 NA 101 247 0 NA 157 337 0 NA 928 2651 730 NA 1373 3729 1371
1533675600.0 280.0 100 75 219 0 185 136 299 0 5693 520 1974 657 6111 965 2681 990
1533675600.0 281.0 86 87 229 0 216 147 334 0 3068 578 1436 773 3825 1217 2062 1006
1533675600.0 300.0 57 107 202 0 106 160 295 0 746 491 1155 564 1045 872 1758 808
1533675600.0 301.0 55 102 202 0 107 161 295 0 955 494 1108 519 1483 1114 1534 857
1533675600.0 302.0 55 116 202 0 106 160 272 0 786 515 1093 528 1253 1135 1630 948
1533675600.0 4006.0 51 95 244 NA 103 149 338 NA 880 822 2026 NA 1077 1221 2704 NA
1533675600.0 4007.0 54 82 231 NA 108 144 312 NA 489 317 1324 NA 728 821 2077 NA
1533675600.0 503.0 38 0 NA NA 71 0 NA NA 259 141 NA NA 446 434 NA NA
1533675600.0 504.0 32 0 NA NA 71 0 NA NA 227 146 NA NA 721 848 NA NA
1533675600.0 505.0 32 0 NA NA 71 0 NA NA 232 138 NA NA 465 433 NA NA
1533675600.0 506.0 36 0 NA NA 71 0 NA NA 234 146 NA NA 513 434 NA NA
1533675600.0 507.0 38 0 NA NA 71 0 NA NA 272 147 NA NA 514 447 NA NA
1533675600.0 508.0 32 0 NA NA 71 0 NA NA 204 159 NA NA 431 410 NA NA
1533675600.0 509.0 37 0 NA NA 70 0 NA NA 204 145 NA NA 419 440 NA NA
1533675600.0 510.0 38 0 NA NA 71 0 NA NA 364 161 NA NA 690 410 NA NA
1533675600.0 514.0 23 40 0 NA 135 74 0 NA 587 271 156 NA 1062 620 451 NA
1533675600.0 517.0 16 39 0 NA 135 73 0 NA 1922 246 164 NA 2188 523 474 NA
1533675600.0 520.0 16 39 0 NA 135 73 0 NA 1911 257 136 NA 2219 498 392 NA
1533675600.0 523.0 16 49 0 NA 135 85 0 NA 971 291 129 NA 1183 535 368 NA
1533675600.0 524.0 16 39 0 NA 135 73 0 NA 1820 262 147 NA 2172 711 532 NA
1533675600.0 527.0 16 40 0 NA 135 74 0 NA 1847 268 151 NA 2329 594 553 NA
1533675600.0 530.0 16 40 0 NA 135 74 0 NA 1799 266 162 NA 2055 537 435 NA
1533675600.0 531.0 63 0 NA NA 180 0 NA NA 231 134 NA NA 485 367 NA NA
1533675600.0 534.0 43 0 NA NA 86 0 NA NA 254 141 NA NA 688 391 NA NA
1533675600.0 541.0 47 0 NA NA 82 0 NA NA 241 124 NA NA 462 263 NA NA
1533675600.0 545.0 47 0 NA NA 82 0 NA NA 284 141 NA NA 564 337 NA NA
1533675600.0 551.0 16 32 0 NA 135 74 0 NA 1730 258 124 NA 2173 602 263 NA
1533675600.0 552.0 16 40 0 NA 135 74 0 NA 2988 263 154 NA 3464 518 461 NA
1533675600.0 554.0 16 39 0 NA 135 73 0 NA 5103 245 144 NA 5923 505 339 NA
1533675600.0 555.0 16 39 0 NA 135 74 0 NA 1760 236 167 NA 3261 512 468 NA
1533675600.0 556.0 16 33 0 NA 135 73 0 NA 767 271 162 NA 1268 624 613 NA
1533675600.0 560.0 37 0 NA NA 71 0 NA NA 232 161 NA NA 482 607 NA NA
1533675600.0 561.0 35 0 NA NA 71 0 NA NA 247 192 NA NA 482 508 NA NA
1533675600.0 562.0 16 35 0 NA 135 74 0 NA 479 274 191 NA 1014 592 515 NA
