Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532293200.0 1.0 61 77 151 NA NA NA NA NA 114 136 233 NA NA NA NA NA 1506 403 951 NA NA NA NA NA 2030 674 1356 NA NA NA NA NA
1532293200.0 10.0 NA 100 229 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2907 4497 806 NA NA NA NA NA 3633 5057 973 NA NA NA NA
1532293200.0 1000.0 NA 234 156 0 49 NA NA NA NA 319 245 0 84 NA NA NA NA 2703 1298 819 280 NA NA NA NA 3089 2128 1183 493 NA NA NA
1532293200.0 10001.0 NA 173 306 73 0 NA NA NA NA 239 408 115 0 NA NA NA NA 3138 5605 1576 4226 NA NA NA NA 4861 9200 3199 5585 NA NA NA
1532293200.0 10002.0 NA 156 307 73 0 NA NA NA NA 239 408 115 0 NA NA NA NA 4416 6151 1847 4867 NA NA NA NA 7725 9619 4129 6521 NA NA NA
1532293200.0 10003.0 NA 169 299 73 0 NA NA NA NA 241 408 115 0 NA NA NA NA 4101 5824 1546 4720 NA NA NA NA 8486 9143 3095 6453 NA NA NA
1532293200.0 10004.0 NA 173 306 73 0 NA NA NA NA 238 408 115 0 NA NA NA NA 3866 5475 1515 4281 NA NA NA NA 7374 9145 3251 5939 NA NA NA
1532293200.0 10005.0 NA 174 305 72 0 NA NA NA NA 238 408 114 0 NA NA NA NA 4140 5392 1690 4513 NA NA NA NA 8704 9036 3841 6167 NA NA NA
1532293200.0 10006.0 NA 175 296 72 0 NA NA NA NA 238 408 114 0 NA NA NA NA 4269 5629 1602 4389 NA NA NA NA 8356 9044 3346 6050 NA NA NA
1532293200.0 10007.0 NA 159 300 83 0 NA NA NA NA 239 408 128 0 NA NA NA NA 4920 5688 1554 4402 NA NA NA NA 8502 9011 3244 5659 NA NA NA
1532293200.0 10008.0 NA 170 307 83 0 NA NA NA NA 239 408 127 0 NA NA NA NA 4286 5067 1587 4284 NA NA NA NA 7494 8197 3334 5709 NA NA NA
1532293200.0 10009.0 NA 175 302 83 0 NA NA NA NA 240 408 127 0 NA NA NA NA 4268 5315 1648 4599 NA NA NA NA 10062 8769 3093 5779 NA NA NA
1532293200.0 1001.0 NA 213 112 0 0 0 0 0 NA 268 153 0 0 0 0 0 NA 2292 515 90 139 309 134 254 NA 2986 889 319 334 418 269 347
1532293200.0 1002.0 NA 239 78 NA NA NA NA NA NA 310 118 NA NA NA NA NA NA 2852 381 NA NA NA NA NA NA 3461 518 NA NA NA NA NA
1532293200.0 10023.0 NA 171 303 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1694 2537 618 2599 NA NA NA NA 2445 3519 940 2851 NA NA NA
1532293200.0 10024.0 NA 176 314 84 0 NA NA NA NA 255 411 130 0 NA NA NA NA 2000 2965 684 2798 NA NA NA NA 2669 4196 967 2998 NA NA NA
1532293200.0 10024.1 NA 184 160 0 NA NA NA NA NA 255 212 0 NA NA NA NA NA 1910 1209 511 NA NA NA NA NA 2510 1456 625 NA NA NA NA
1532293200.0 10024.2 NA 185 316 0 NA NA NA NA NA 255 409 0 NA NA NA NA NA 1983 2918 2664 NA NA NA NA NA 2738 3553 2832 NA NA NA NA
