Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1533546000.0 1020.0 NA 38 NA NA 102 NA NA 196 NA NA 459 NA
1533546000.0 135.8 83 NA NA 143 NA NA 265 NA NA 477 NA NA
1533546000.0 541.0 46 0 NA 82 0 NA 154 100 NA 331 278 NA
1533546000.0 545.0 46 0 NA 82 0 NA 162 99 NA 428 398 NA
1533546000.0 551.0 16 38 0 135 74 0 1001 160 100 1324 376 221
1533546000.0 552.0 16 40 0 135 74 0 1765 151 100 1908 350 391
1533546000.0 554.0 16 40 0 135 73 0 2610 152 102 2740 454 241
1533546000.0 556.0 16 39 0 135 73 0 374 154 97 635 370 216
1533546000.0 560.0 38 0 NA 71 0 NA 146 97 NA 447 457 NA
1533546000.0 562.0 16 39 0 135 74 0 261 152 100 532 334 452
