Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533632400.0 1010.0 NA 29 35 0 NA 69 81 0 NA 98 153 146 NA 370 418 328
1533632400.0 1020.0 NA 36 NA NA NA 102 NA NA NA 210 NA NA NA 474 NA NA
1533632400.0 1030.0 NA 137 43 0 NA 240 80 0 NA 8517 282 61 NA 9543 750 303
1533632400.0 1325.5 NA 140 0 NA NA 207 0 NA NA 2544 130 NA NA 3433 557 NA
1533632400.0 1325.7 NA 106 0 NA NA 170 0 NA NA 1990 120 NA NA 4338 447 NA
1533632400.0 135.8 83 NA NA NA 143 NA NA NA 338 NA NA NA 873 NA NA NA
1533632400.0 541.0 47 0 NA NA 82 0 NA NA 171 119 NA NA 355 435 NA NA
1533632400.0 545.0 41 0 NA NA 82 0 NA NA 181 112 NA NA 331 351 NA NA
1533632400.0 551.0 16 34 0 NA 135 74 0 NA 889 159 111 NA 1115 319 414 NA
1533632400.0 552.0 16 38 0 NA 135 74 0 NA 1736 169 114 NA 2047 331 408 NA
1533632400.0 554.0 16 37 0 NA 135 73 0 NA 2738 160 113 NA 3028 305 411 NA
1533632400.0 555.0 16 36 0 NA 135 75 0 NA 1199 170 113 NA 2209 373 407 NA
1533632400.0 556.0 16 35 0 NA 135 73 0 NA 427 175 111 NA 676 328 419 NA
1533632400.0 560.0 36 0 NA NA 71 0 NA NA 154 112 NA NA 288 432 NA NA
1533632400.0 561.0 36 0 NA NA 71 0 NA NA 162 111 NA NA 320 422 NA NA
1533632400.0 562.0 16 40 0 NA 135 74 0 NA 293 170 109 NA 657 306 420 NA
