Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1532466000.0 1.0 90 108 212 NA NA NA NA NA NA 196 583 323 NA NA NA NA NA NA 1689 429 1201 NA NA NA NA NA NA 1180 431 1433 NA NA NA NA NA NA
1532466000.0 10.0 NA 126 288 0 NA NA NA NA NA NA 591 444 0 NA NA NA NA NA NA 2180 3077 480 NA NA NA NA NA NA 1566 2382 703 NA NA NA NA NA
1532466000.0 1000.0 NA 292 168 0 63 NA NA NA NA NA 441 274 0 109 NA NA NA NA NA 2699 1195 655 303 NA NA NA NA NA 2959 2115 945 481 NA NA NA NA
1532466000.0 10001.0 NA 172 344 0 86 NA NA NA NA NA 607 547 0 133 NA NA NA NA NA 673 2601 1653 281 NA NA NA NA NA 792 4126 2761 503 NA NA NA NA
1532466000.0 10002.0 NA 165 347 0 75 NA NA NA NA NA 609 544 0 129 NA NA NA NA NA 698 2528 1282 312 NA NA NA NA NA 778 4720 1565 647 NA NA NA NA
1532466000.0 10003.0 NA 162 363 0 87 NA NA NA NA NA 556 520 0 128 NA NA NA NA NA 766 2702 1229 270 NA NA NA NA NA 671 4229 1479 531 NA NA NA NA
1532466000.0 10004.0 NA 167 367 0 86 NA NA NA NA NA 607 546 0 126 NA NA NA NA NA 727 2490 1292 267 NA NA NA NA NA 715 3957 1593 532 NA NA NA NA
1532466000.0 10005.0 NA 152 351 0 82 NA NA NA NA NA 608 531 0 128 NA NA NA NA NA 823 2574 1500 328 NA NA NA NA NA 1053 3957 3086 944 NA NA NA NA
1532466000.0 10006.0 NA 163 352 0 86 NA NA NA NA NA 606 518 0 134 NA NA NA NA NA 759 2617 1613 259 NA NA NA NA NA 659 4200 2749 450 NA NA NA NA
1532466000.0 10007.0 NA 163 352 0 86 NA NA NA NA NA 563 565 0 132 NA NA NA NA NA 824 2541 1660 440 NA NA NA NA NA 1054 3476 2076 579 NA NA NA NA
1532466000.0 10008.0 NA 166 365 0 80 NA NA NA NA NA 606 521 0 128 NA NA NA NA NA 739 2442 1265 305 NA NA NA NA NA 578 3362 1455 568 NA NA NA NA
1532466000.0 10009.0 NA 164 356 0 87 NA NA NA NA NA 556 553 0 136 NA NA NA NA NA 798 2538 1621 259 NA NA NA NA NA 655 3576 2047 451 NA NA NA NA
1532466000.0 1001.0 NA 251 113 0 0 0 0 0 0 NA 365 177 0 0 0 0 0 0 NA 2457 678 114 87 137 265 131 246 NA 2688 1894 512 698 779 457 343 428
1532466000.0 1001.2 NA 374 148 0 NA NA NA NA NA NA 622 215 0 NA NA NA NA NA NA 13792 1698 111 NA NA NA NA NA NA 5387 1425 212 NA NA NA NA NA
1532466000.0 1002.0 NA 291 84 NA NA NA NA NA NA NA 427 140 NA NA NA NA NA NA NA 3061 426 NA NA NA NA NA NA NA 3678 486 NA NA NA NA NA NA
1532466000.0 10023.0 NA 156 356 0 82 NA NA NA NA NA 563 531 0 126 NA NA NA NA NA 855 2384 1285 659 NA NA NA NA NA 1129 3099 1570 1243 NA NA NA NA
1532466000.0 10024.0 NA 182 369 0 86 NA NA NA NA NA 609 571 0 127 NA NA NA NA NA 796 2959 1287 323 NA NA NA NA NA 928 3997 1503 616 NA NA NA NA
1532466000.0 10024.1 NA 179 203 0 NA NA NA NA NA NA 608 351 0 NA NA NA NA NA NA 943 888 398 NA NA NA NA NA NA 1117 1290 682 NA NA NA NA NA
1532466000.0 10024.2 NA 175 380 0 NA NA NA NA NA NA 608 541 0 NA NA NA NA NA NA 996 2644 1259 NA NA NA NA NA NA 928 3721 1960 NA NA NA NA NA
1532466000.0 10024.3 NA 175 187 0 NA NA NA NA NA NA 610 334 0 NA NA NA NA NA NA 880 956 338 NA NA NA NA NA NA 722 1985 514 NA NA NA NA NA
1532466000.0 10024.4 NA 184 366 0 NA NA NA NA NA NA 609 542 0 NA NA NA NA NA NA 789 2782 1268 NA NA NA NA NA NA 993 3012 1518 NA NA NA NA NA
1532466000.0 10024.5 NA 185 154 0 NA NA NA NA NA NA 609 232 0 NA NA NA NA NA NA 927 483 151 NA NA NA NA NA NA 1024 867 570 NA NA NA NA NA
1532466000.0 10025.0 NA 171 371 0 77 NA NA NA NA NA 609 566 0 133 NA NA NA NA NA 838 2528 1351 463 NA NA NA NA NA 804 3699 1786 590 NA NA NA NA
1532466000.0 10026.0 NA 192 370 0 83 NA NA NA NA NA 607 577 0 138 NA NA NA NA NA 844 3328 1413 288 NA NA NA NA NA 580 3646 1861 518 NA NA NA NA
1532466000.0 1003.0 NA 246 0 NA NA NA NA NA NA NA 368 0 NA NA NA NA NA NA NA 2712 488 NA NA NA NA NA NA NA 2073 733 NA NA NA NA NA NA
1532466000.0 1004.0 NA 214 101 0 0 0 0 NA NA NA 331 154 0 0 0 0 NA NA NA 969 400 68 113 269 238 NA NA NA 3360 1206 175 285 402 428 NA NA
