Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533848400.0 101.0 92 NA NA NA 160 NA NA NA 1340 NA NA NA 2393 NA NA NA
1533848400.0 102.0 91 NA NA NA 161 NA NA NA 1205 NA NA NA 2223 NA NA NA
1533848400.0 103.0 77 102 265 NA 162 449 393 NA 2478 792 2578 NA 2173 729 3174 NA
1533848400.0 105.0 89 104 34 NA 200 584 78 NA 2243 713 172 NA 2132 602 307 NA
1533848400.0 106.0 50 0 0 NA 108 0 0 NA 670 448 2636 NA 1151 706 3962 NA
1533848400.0 107.0 102 104 274 NA 215 585 417 NA 4380 660 2706 NA 2893 566 2948 NA
1533848400.0 108.0 94 98 274 NA 214 552 420 NA 6734 1192 3160 NA 5560 1181 3884 NA
1533848400.0 109.0 105 107 273 NA 217 595 411 NA 5585 668 3085 NA 3653 595 3859 NA
1533848400.0 110.0 69 94 271 NA 137 537 385 NA 891 966 2731 NA 1191 949 3831 NA
1533848400.0 111.0 84 101 271 NA 191 582 415 NA 3215 504 2847 NA 2883 510 3805 NA
1533848400.0 112.0 100 102 272 NA 214 583 408 NA 3369 701 2689 NA 2674 620 3118 NA
1533848400.0 11224.0 NA 272 410 0 NA 597 603 0 NA 2866 4056 3262 NA 3547 6763 4070
1533848400.0 11224.6 NA 269 405 0 NA 592 592 0 NA 2793 4302 3208 NA 3213 7105 3979
1533848400.0 113.0 92 102 277 NA 220 538 424 NA 3145 637 2918 NA 3365 596 3764 NA
1533848400.0 114.0 106 106 274 NA 214 538 408 NA 3613 690 2705 NA 2526 612 3138 NA
1533848400.0 115.0 107 104 273 NA 217 586 394 NA 3832 692 2694 NA 2043 633 3064 NA
1533848400.0 116.0 109 104 277 NA 220 537 411 NA 4660 886 2982 NA 3434 942 3872 NA
1533848400.0 117.0 111 103 267 NA 216 552 409 NA 5854 911 3126 NA 3839 757 3839 NA
1533848400.0 118.0 104 107 279 NA 214 583 419 NA 5392 701 3174 NA 3957 571 3878 NA
1533848400.0 119.0 105 104 272 NA 211 584 397 NA 4013 651 2636 NA 2750 570 2968 NA
1533848400.0 12.0 NA 129 293 0 NA 589 433 0 NA 2840 5053 794 NA 1598 4103 944
1533848400.0 120.0 68 97 256 NA 135 536 418 NA 1352 763 2829 NA 1377 845 3807 NA
