Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1532120400.0 1.0 256 278 330 NA NA 2097300 2097270 2097360 NA NA 2557 868 2293 NA NA 3448 1205 4756 NA NA
1532120400.0 10001.0 NA 266 NA NA NA NA 2097310 NA NA NA NA 1503 NA NA NA NA 2604 NA NA NA
1532120400.0 10002.0 NA 307 463 0 271 NA 2097310 2097440 0 2097260 NA 1444 5417 4405 536 NA 1851 24373 6721 738
1532120400.0 10003.0 NA 251 NA NA NA NA 2097310 NA NA NA NA 1531 NA NA NA NA 5511 NA NA NA
1532120400.0 10004.0 NA 233 NA NA NA NA 2097310 NA NA NA NA 1403 NA NA NA NA 2571 NA NA NA
1532120400.0 10005.0 NA 277 NA NA NA NA 2097310 NA NA NA NA 1587 NA NA NA NA 3418 NA NA NA
1532120400.0 10006.0 NA 303 337 0 261 NA 2097310 2097440 0 2097260 NA 1512 4893 4340 524 NA 1991 17979 5870 712
1532120400.0 10007.0 NA 287 NA NA NA NA 2097310 NA NA NA NA 1641 NA NA NA NA 3116 NA NA NA
1532120400.0 10008.0 NA 241 NA NA NA NA 2097310 NA NA NA NA 1664 NA NA NA NA 3414 NA NA NA
1532120400.0 10009.0 NA 327 NA NA NA NA 2097310 NA NA NA NA 1523 NA NA NA NA 2174 NA NA NA
1532120400.0 10023.0 NA 287 NA NA NA NA 2097310 NA NA NA NA 1417 NA NA NA NA 2887 NA NA NA
1532120400.0 10024.0 NA 280 NA NA NA NA 2097310 NA NA NA NA 1873 NA NA NA NA 3804 NA NA NA
1532120400.0 10024.2 NA 328 347 0 NA NA 2097310 2097450 0 NA NA 1729 5791 4368 NA NA 2289 15973 6307 NA
1532120400.0 10024.3 NA 324 450 0 NA NA 2097310 2097330 0 NA NA 1928 2042 650 NA NA 2294 3562 894 NA
1532120400.0 10024.4 NA 324 479 0 NA NA 2097310 2097440 0 NA NA 1821 6797 4162 NA NA 2419 24529 4848 NA
1532120400.0 10025.0 NA 309 NA NA NA NA 2097310 NA NA NA NA 1631 NA NA NA NA 2082 NA NA NA
1532120400.0 10026.0 NA 259 NA NA NA NA 2097310 NA NA NA NA 1864 NA NA NA NA 3426 NA NA NA
1532120400.0 10042.0 NA 306 NA NA NA NA 2097310 NA NA NA NA 1668 NA NA NA NA 2317 NA NA NA
1532120400.0 10059.0 NA 299 NA NA NA NA 2097310 NA NA NA NA 2126 NA NA NA NA 3753 NA NA NA
1532120400.0 10071.0 NA 293 NA NA NA NA 2097310 NA NA NA NA 1745 NA NA NA NA 2244 NA NA NA
