Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1533070800.0 1.0 62 82 161 NA NA NA NA NA NA 195 292 383 NA NA NA NA NA NA 1186 381 955 NA NA NA NA NA NA 1376 482 1108 NA NA NA NA NA NA
1533070800.0 10.0 NA 100 245 0 NA NA NA NA NA NA 263 471 0 NA NA NA NA NA NA 2154 3487 604 NA NA NA NA NA NA 2417 4261 742 NA NA NA NA NA
1533070800.0 1000.0 NA 253 165 0 61 NA NA NA NA NA 499 360 0 166 NA NA NA NA NA 2683 1231 698 294 NA NA NA NA NA 3004 1675 788 399 NA NA NA NA
1533070800.0 10001.0 NA 103 312 0 84 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 479 1520 1193 254 NA NA NA NA NA 641 1698 1371 412 NA NA NA NA
1533070800.0 10002.0 NA 105 301 0 79 NA NA NA NA NA 275 581 0 204 NA NA NA NA NA 509 1558 1216 228 NA NA NA NA NA 706 1783 1311 375 NA NA NA NA
1533070800.0 10003.0 NA 104 300 0 79 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 489 1602 1231 265 NA NA NA NA NA 654 1898 1298 395 NA NA NA NA
1533070800.0 10004.0 NA 108 324 0 74 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 477 1550 1166 239 NA NA NA NA NA 655 1793 1258 381 NA NA NA NA
1533070800.0 10005.0 NA 106 301 0 75 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 623 1518 1172 243 NA NA NA NA NA 999 1680 1247 388 NA NA NA NA
1533070800.0 10006.0 NA 109 322 0 74 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 491 1698 1137 236 NA NA NA NA NA 613 2106 1230 381 NA NA NA NA
1533070800.0 10007.0 NA 107 302 0 74 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 513 1684 1164 235 NA NA NA NA NA 663 1954 1253 377 NA NA NA NA
1533070800.0 10008.0 NA 108 306 0 78 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 541 1579 1185 239 NA NA NA NA NA 720 1773 1281 355 NA NA NA NA
1533070800.0 10009.0 NA 106 306 0 74 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 497 1584 1179 234 NA NA NA NA NA 648 1920 1271 374 NA NA NA NA
1533070800.0 1001.0 NA 233 124 0 0 0 0 0 0 NA 452 240 0 0 0 0 0 0 NA 2326 588 104 85 142 333 134 319 NA 2556 750 179 128 190 386 183 361
1533070800.0 1001.2 NA 293 135 0 NA NA NA NA NA NA 549 265 0 NA NA NA NA NA NA 13763 1399 135 NA NA NA NA NA NA 13990 1608 205 NA NA NA NA NA
1533070800.0 1002.0 NA 245 77 NA NA NA NA NA NA NA 467 181 NA NA NA NA NA NA NA 2847 356 NA NA NA NA NA NA NA 3075 447 NA NA NA NA NA NA
1533070800.0 10023.0 NA 103 313 0 74 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 563 1435 1182 236 NA NA NA NA NA 830 1617 1267 375 NA NA NA NA
1533070800.0 10024.0 NA 120 311 0 75 NA NA NA NA NA 275 581 0 204 NA NA NA NA NA 666 1783 1207 279 NA NA NA NA NA 831 1998 1278 497 NA NA NA NA
1533070800.0 10024.1 NA 118 176 0 NA NA NA NA NA NA 275 386 0 NA NA NA NA NA NA 604 784 319 NA NA NA NA NA NA 975 996 376 NA NA NA NA NA
1533070800.0 10024.2 NA 108 309 0 NA NA NA NA NA NA 275 581 0 NA NA NA NA NA NA 600 1746 1208 NA NA NA NA NA NA 754 1937 1292 NA NA NA NA NA
1533070800.0 10024.3 NA 123 169 0 NA NA NA NA NA NA 275 386 0 NA NA NA NA NA NA 599 727 284 NA NA NA NA NA NA 735 934 343 NA NA NA NA NA
1533070800.0 10024.4 NA 107 310 0 NA NA NA NA NA NA 320 580 0 NA NA NA NA NA NA 595 1747 1184 NA NA NA NA NA NA 751 1936 1300 NA NA NA NA NA
1533070800.0 10024.5 NA 123 140 0 NA NA NA NA NA NA 320 314 0 NA NA NA NA NA NA 592 423 134 NA NA NA NA NA NA 743 580 218 NA NA NA NA NA
1533070800.0 10025.0 NA 107 304 0 74 NA NA NA NA NA 320 581 0 204 NA NA NA NA NA 541 1620 1226 235 NA NA NA NA NA 740 1836 1322 375 NA NA NA NA
1533070800.0 10026.0 NA 136 313 0 80 NA NA NA NA NA 320 645 0 204 NA NA NA NA NA 633 2063 1176 244 NA NA NA NA NA 795 2238 1281 355 NA NA NA NA
1533070800.0 1003.0 NA 220 0 NA NA NA NA NA NA NA 446 0 NA NA NA NA NA NA NA 2746 530 NA NA NA NA NA NA NA 3177 636 NA NA NA NA NA NA
