Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533675600.0 1.0 66 84 159 NA NA NA NA 195 291 383 NA NA NA NA 1405 406 1046 NA NA NA NA 1614 517 1358 NA NA NA NA
1533675600.0 10.0 NA 103 248 0 NA NA NA NA 262 471 0 NA NA NA NA 2032 3713 643 NA NA NA NA 2250 4027 714 NA NA NA
1533675600.0 10001.0 NA 113 302 0 80 NA NA NA 320 581 0 204 NA NA NA 383 1667 1142 255 NA NA NA 568 1883 1272 340 NA NA
1533675600.0 10002.0 NA 115 298 0 81 NA NA NA 274 581 0 204 NA NA NA 459 1516 1153 258 NA NA NA 576 1686 1212 375 NA NA
1533675600.0 10003.0 NA 114 300 0 83 NA NA NA 320 581 0 204 NA NA NA 397 1574 1321 248 NA NA NA 546 1929 1440 349 NA NA
1533675600.0 10004.0 NA 109 298 0 75 NA NA NA 320 581 0 204 NA NA NA 414 1808 1163 257 NA NA NA 550 2093 1243 398 NA NA
1533675600.0 10005.0 NA 109 303 0 85 NA NA NA 320 581 0 204 NA NA NA 429 1575 1157 242 NA NA NA 565 1752 1216 329 NA NA
1533675600.0 10006.0 NA 116 296 0 80 NA NA NA 320 581 0 204 NA NA NA 431 1535 1339 262 NA NA NA 541 1736 1417 354 NA NA
1533675600.0 10007.0 NA 114 315 0 80 NA NA NA 320 581 0 204 NA NA NA 416 1568 1199 236 NA NA NA 529 1716 1256 331 NA NA
1533675600.0 10023.0 NA 110 299 0 80 NA NA NA 274 581 0 204 NA NA NA 509 1539 1157 237 NA NA NA 654 1898 1216 324 NA NA
1533675600.0 10024.0 NA 117 312 0 73 NA NA NA 275 581 0 204 NA NA NA 526 1867 1248 377 NA NA NA 658 2146 1343 793 NA NA
1533675600.0 10024.2 NA 116 303 0 NA NA NA NA 320 581 0 NA NA NA NA 511 1843 1459 NA NA NA NA 709 2013 1589 NA NA NA
1533675600.0 10024.4 NA 114 304 0 NA NA NA NA 275 580 0 NA NA NA NA 550 1812 1526 NA NA NA NA 674 2023 1706 NA NA NA
1533675600.0 10024.5 NA 118 149 0 NA NA NA NA 275 314 0 NA NA NA NA 539 460 117 NA NA NA NA 700 637 160 NA NA NA
1533675600.0 1004.0 NA 189 103 0 0 0 0 NA 400 218 0 0 0 0 NA 888 271 66 120 353 281 NA 1104 358 106 154 521 324
1533675600.0 101.0 97 NA NA NA NA NA NA 254 NA NA NA NA NA NA 1100 NA NA NA NA NA NA 1246 NA NA NA NA NA NA
1533675600.0 1010.0 NA 34 46 0 NA NA NA NA 149 161 0 NA NA NA NA 101 134 115 NA NA NA NA 220 239 167 NA NA NA
1533675600.0 102.0 102 NA NA NA NA NA NA 254 NA NA NA NA NA NA 991 NA NA NA NA NA NA 1189 NA NA NA NA NA NA
1533675600.0 1020.0 NA 73 31 0 68 NA NA NA 200 132 0 201 NA NA NA 228 100 61 236 NA NA NA 406 170 132 338 NA NA
1533675600.0 10224.0 NA 164 390 0 NA NA NA NA 372 729 0 NA NA NA NA 2693 3907 1559 NA NA NA NA 3177 4655 1658 NA NA NA
1533675600.0 103.0 56 0 0 NA NA NA NA 170 0 0 NA NA NA NA 593 255 1731 NA NA NA NA 853 385 2312 NA NA NA NA
1533675600.0 1030.0 NA 139 45 0 0 NA NA NA 348 160 0 0 NA NA NA 7492 239 63 68 NA NA NA 7947 346 239 396 NA NA
1533675600.0 1040.0 NA 254 33 0 NA NA NA NA 491 136 0 NA NA NA NA 11224 115 119 NA NA NA NA 11717 195 164 NA NA NA
1533675600.0 1040.1 NA 70 34 0 NA NA NA NA 219 136 0 NA NA NA NA 378 107 123 NA NA NA NA 540 185 212 NA NA NA
1533675600.0 10424.0 NA 126 308 0 NA NA NA NA 320 581 0 NA NA NA NA 463 1845 1488 NA NA NA NA 588 2164 1618 NA NA NA
1533675600.0 105.0 63 76 36 NA NA NA NA 195 291 140 NA NA NA NA 1728 581 158 NA NA NA NA 1875 803 244 NA NA NA NA
1533675600.0 106.0 48 0 0 NA NA NA NA 170 0 0 NA NA NA NA 591 193 1764 NA NA NA NA 826 280 2155 NA NA NA NA
1533675600.0 107.0 61 78 232 NA NA NA NA 207 292 471 NA NA NA NA 2626 637 2167 NA NA NA NA 2890 951 2567 NA NA NA NA
1533675600.0 108.0 69 82 232 NA NA NA NA 206 292 471 NA NA NA NA 3812 610 2046 NA NA NA NA 4209 988 2510 NA NA NA NA
1533675600.0 10824.5 NA 203 155 0 NA NA NA NA 441 315 0 NA NA NA NA 1474 585 166 NA NA NA NA 1646 751 248 NA NA NA
1533675600.0 10824.6 NA 199 352 0 90 114 NA NA 441 645 0 220 248 NA NA 1916 2016 2041 403 782 NA NA 2245 2220 2141 552 937 NA
1533675600.0 10859.0 NA 221 350 0 95 111 NA NA 441 645 0 220 248 NA NA 1604 2468 2360 441 670 NA NA 1822 2891 2468 711 760 NA
1533675600.0 10871.0 NA 203 333 0 88 112 NA NA 441 645 0 204 248 NA NA 1479 2211 2631 636 724 NA NA 1759 2429 2763 1157 932 NA
1533675600.0 110.0 55 74 229 NA NA NA NA 176 246 471 NA NA NA NA 798 553 1904 NA NA NA NA 1244 788 2158 NA NA NA NA
1533675600.0 11024.0 NA 272 446 0 112 NA NA NA 558 820 0 248 NA NA NA 6734 5638 3327 833 NA NA NA 7938 6600 3525 972 NA NA
1533675600.0 11024.6 NA 270 444 0 104 NA NA NA 558 820 0 248 NA NA NA 6590 7106 3331 1076 NA NA NA 7708 8380 3512 1172 NA NA
1533675600.0 11025.0 NA 266 449 0 112 NA NA NA 558 820 0 248 NA NA NA 6454 5062 3338 1055 NA NA NA 7400 5834 3471 1190 NA NA
1533675600.0 111.0 68 81 228 NA NA NA NA 196 292 471 NA NA NA NA 1037 428 2068 NA NA NA NA 1204 627 2405 NA NA NA NA
1533675600.0 112.0 67 77 229 NA NA NA NA 195 248 471 NA NA NA NA 1783 646 2146 NA NA NA NA 1966 929 2837 NA NA NA NA
1533675600.0 113.0 68 84 227 NA NA NA NA 195 292 471 NA NA NA NA 1830 598 2048 NA NA NA NA 2025 779 2346 NA NA NA NA
1533675600.0 114.0 66 79 232 NA NA NA NA 195 291 471 NA NA NA NA 2080 604 2085 NA NA NA NA 2249 897 2432 NA NA NA NA
1533675600.0 115.0 65 79 229 NA NA NA NA 195 248 471 NA NA NA NA 2021 535 1799 NA NA NA NA 2209 784 2059 NA NA NA NA
1533675600.0 116.0 65 82 232 NA NA NA NA 207 247 471 NA NA NA NA 2341 593 1802 NA NA NA NA 2523 807 2060 NA NA NA NA
1533675600.0 11623.0 55 110 304 0 77 NA NA 180 268 581 0 205 NA NA 942 1083 2456 1696 379 NA NA 1247 1635 2855 1806 599 NA NA
1533675600.0 11625.0 57 110 302 0 74 NA NA 180 269 581 0 205 NA NA 2808 1104 2699 1851 333 NA NA 3190 1635 3134 1956 522 NA NA
1533675600.0 11642.0 58 106 300 0 78 NA NA 180 313 581 0 205 NA NA 1016 898 2492 1899 385 NA NA 1236 1324 2856 2046 599 NA NA
1533675600.0 117.0 68 78 241 NA NA NA NA 207 292 471 NA NA NA NA 3002 684 2237 NA NA NA NA 3247 1007 2674 NA NA NA NA
1533675600.0 118.0 66 80 238 NA NA NA NA 207 292 471 NA NA NA NA 2943 637 2034 NA NA NA NA 3176 869 2372 NA NA NA NA
1533675600.0 119.0 62 86 236 NA NA NA NA 195 292 471 NA NA NA NA 2613 598 1713 NA NA NA NA 3217 816 2128 NA NA NA NA
1533675600.0 120.0 63 83 238 NA NA NA NA 184 246 471 NA NA NA NA 726 575 1731 NA NA NA NA 1008 780 1994 NA NA NA NA
1533675600.0 122.0 60 76 226 NA NA NA NA 196 292 471 NA NA NA NA 515 353 1529 NA NA NA NA 661 509 1763 NA NA NA NA
1533675600.0 123.1 202 NA NA NA NA NA NA 427 NA NA NA NA NA NA 1133 NA NA NA NA NA NA 1341 NA NA NA NA NA NA
1533675600.0 123.2 198 NA NA NA NA NA NA 427 NA NA NA NA NA NA 1288 NA NA NA NA NA NA 1710 NA NA NA NA NA NA
1533675600.0 123.3 178 NA NA NA NA NA NA 426 NA NA NA NA NA NA 882 NA NA NA NA NA NA 1137 NA NA NA NA NA NA
1533675600.0 124.1 197 NA NA NA NA NA NA 426 NA NA NA NA NA NA 900 NA NA NA NA NA NA 1133 NA NA NA NA NA NA
1533675600.0 124.2 201 NA NA NA NA NA NA 428 NA NA NA NA NA NA 1161 NA NA NA NA NA NA 1701 NA NA NA NA NA NA
1533675600.0 124.4 184 NA NA NA NA NA NA 426 NA NA NA NA NA NA 958 NA NA NA NA NA NA 1192 NA NA NA NA NA NA
1533675600.0 124.5 184 NA NA NA NA NA NA 426 NA NA NA NA NA NA 965 NA NA NA NA NA NA 1191 NA NA NA NA NA NA
