Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533762000.0 10024.5 NA 126 150 0 NA NA 276 314 0 NA NA 536 426 120 NA NA 667 639 167 NA
1533762000.0 1010.0 NA 33 46 0 NA NA 149 162 0 NA NA 121 142 115 NA NA 234 251 166 NA
1533762000.0 1020.0 NA 64 32 0 72 NA 201 133 0 201 NA 257 106 78 278 NA 385 220 152 378
1533762000.0 1030.0 NA 142 46 0 0 NA 348 160 0 0 NA 7910 242 80 89 NA 8247 341 146 301
1533762000.0 1040.1 NA 76 37 0 NA NA 219 136 0 NA NA 432 127 130 NA NA 616 193 238 NA
1533762000.0 10824.5 NA 208 153 0 NA NA 441 315 0 NA NA 1543 502 129 NA NA 1824 662 201 NA
1533762000.0 122.0 65 79 240 NA NA 197 293 471 NA NA 506 256 1339 NA NA 625 400 1554 NA NA
1533762000.0 126.0 64 90 249 NA NA 185 292 471 NA NA 843 354 1373 NA NA 991 465 1578 NA NA
1533762000.0 127.0 56 75 238 NA NA 185 292 471 NA NA 968 372 1411 NA NA 1134 480 1664 NA NA
1533762000.0 128.0 56 80 224 NA NA 177 293 471 NA NA 481 361 1457 NA NA 620 482 1835 NA NA
1533762000.0 129.0 58 79 235 NA NA 177 247 471 NA NA 485 346 1382 NA NA 600 458 1557 NA NA
1533762000.0 130.0 60 78 235 NA NA 185 293 471 NA NA 542 379 1388 NA NA 721 527 1612 NA NA
1533762000.0 1301.0 61 86 163 NA NA 196 300 388 NA NA 988 395 994 NA NA 1200 532 1156 NA NA
1533762000.0 1301.17 57 112 178 NA NA 181 257 402 NA NA 1091 430 1052 NA NA 1324 512 1231 NA NA
1533762000.0 1302.0 65 96 207 NA NA 196 255 389 NA NA 4025 434 1148 NA NA 4346 531 1311 NA NA
1533762000.0 1307.0 NA 98 145 45 0 NA 313 340 164 0 NA 414 680 234 421 NA 521 854 469 502
1533762000.0 1308.0 NA 96 167 47 0 NA 313 369 164 0 NA 386 683 163 408 NA 493 1056 236 494
1533762000.0 131.0 57 86 233 NA NA 185 292 471 NA NA 912 370 1398 NA NA 1044 494 1599 NA NA
