Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533848400.0 10024.5 NA 116 143 0 NA 321 314 0 NA 469 355 101 NA 560 498 151
1533848400.0 122.0 65 82 233 NA 197 247 471 NA 464 211 1129 NA 560 277 1310 NA
1533848400.0 126.0 62 78 237 NA 185 292 471 NA 744 297 1114 NA 859 391 1276 NA
1533848400.0 127.0 54 79 241 NA 185 247 471 NA 911 300 1174 NA 1034 392 1371 NA
1533848400.0 128.0 63 79 238 NA 177 293 471 NA 421 305 1167 NA 535 394 1304 NA
1533848400.0 129.0 56 81 237 NA 177 293 471 NA 423 292 1184 NA 534 360 1307 NA
1533848400.0 131.0 55 79 242 NA 185 293 471 NA 827 321 1163 NA 953 425 1286 NA
1533848400.0 1325.5 NA 141 0 NA NA 317 0 NA NA 4303 273 NA NA 4634 308 NA
1533848400.0 1325.7 NA 120 0 NA NA 293 0 NA NA 4221 323 NA NA 7389 434 NA
1533848400.0 1325.8 NA 126 0 NA NA 294 0 NA NA 3686 194 NA NA 5680 227 NA
1533848400.0 1325.9 NA 123 0 NA NA 268 0 NA NA 3223 287 NA NA 3473 339 NA
1533848400.0 134.806 NA 37 274 0 NA 162 508 0 NA 198 6469 611 NA 361 6801 689
1533848400.0 134.808 NA 98 299 0 NA 263 560 0 NA 961 6186 697 NA 1159 6508 751
1533848400.0 135.8 88 NA NA NA 235 NA NA NA 788 NA NA NA 1041 NA NA NA
1533848400.0 2017.8 106 NA NA NA 234 NA NA NA 282 NA NA NA 400 NA NA NA
1533848400.0 4000.0 NA 101 250 NA NA 308 471 NA NA 2084 3197 NA NA 2250 3386 NA
1533848400.0 4007.0 48 0 0 NA 171 0 0 NA 405 122 996 NA 489 202 1298 NA
1533848400.0 4008.0 48 0 0 NA 171 0 0 NA 407 115 972 NA 504 191 1185 NA
