Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533420000.0 101.0 97 NA NA NA 161 NA NA NA 1594 NA NA NA 2601 NA NA NA
1533420000.0 102.0 90 NA NA NA 161 NA NA NA 1508 NA NA NA 3135 NA NA NA
1533420000.0 103.0 79 102 270 NA 170 584 403 NA 2723 703 3277 NA 2914 1133 4837 NA
1533420000.0 106.0 50 0 0 NA 108 0 0 NA 1332 854 2937 NA 1918 1014 4411 NA
1533420000.0 122.0 52 0 0 NA 106 0 0 NA 407 160 1278 NA 597 175 1727 NA
1533420000.0 129.0 70 116 274 NA 134 584 393 NA 749 471 1437 NA 673 331 1638 NA
1533420000.0 13.0 NA 116 282 0 NA 591 415 0 NA 1191 5386 1077 NA 5836 7674 1392
1533420000.0 1325.5 NA 171 0 NA NA 275 0 NA NA 7505 233 NA NA 9057 740 NA
1533420000.0 1325.51 NA 157 0 NA NA 247 0 NA NA 2982 252 NA NA 3326 808 NA
1533420000.0 1325.7 NA 169 0 NA NA 255 0 NA NA 5571 206 NA NA 7329 529 NA
1533420000.0 135.8 151 NA NA NA 271 NA NA NA 723 NA NA NA 1033 NA NA NA
1533420000.0 136.761 NA 98 389 0 NA 156 634 0 NA 986 29517 1416 NA 1794 16239 1902
1533420000.0 2017.8 193 NA NA NA 272 NA NA NA 363 NA NA NA 470 NA NA NA
1533420000.0 25407.0 425 0 131 NA 726 0 205 NA 5589 694 1834 NA 6071 1390 3114 NA
1533420000.0 4008.0 52 0 0 NA 108 0 0 NA 680 164 1255 NA 596 284 1570 NA
1533420000.0 556.0 24 46 0 NA 64 94 0 NA 587 307 229 NA 2207 1601 2893 NA
