Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533675600.0 10004.0 NA 173 363 0 76 NA NA NA 609 546 0 131 NA NA NA 588 1755 1129 303 NA NA NA 390 2204 1270 383 NA NA
1533675600.0 10023.0 NA 174 366 0 81 NA NA NA 609 543 0 134 NA NA NA 591 1714 1137 231 NA NA NA 442 1945 1295 392 NA NA
1533675600.0 10024.0 NA 180 387 0 78 NA NA NA 612 553 0 134 NA NA NA 679 1990 1180 330 NA NA NA 489 1956 1417 447 NA NA
1533675600.0 10024.2 NA 180 376 0 NA NA NA NA 607 564 0 NA NA NA NA 672 2028 1135 NA NA NA NA 429 1899 1251 NA NA NA
1533675600.0 10024.4 NA 184 371 0 NA NA NA NA 607 543 0 NA NA NA NA 677 2032 1175 NA NA NA NA 464 2219 1297 NA NA NA
1533675600.0 10024.5 NA 180 154 0 NA NA NA NA 566 233 0 NA NA NA NA 724 400 111 NA NA NA NA 606 608 172 NA NA NA
1533675600.0 1004.0 NA 224 104 0 0 0 0 NA 357 162 0 0 0 0 NA 961 349 88 134 292 293 NA 1676 702 657 406 526 597
1533675600.0 10059.0 NA 193 388 0 77 NA NA NA 565 560 0 134 NA NA NA 728 2447 1165 231 NA NA NA 760 2128 1238 424 NA NA
1533675600.0 101.0 104 NA NA NA NA NA NA 161 NA NA NA NA NA NA 1728 NA NA NA NA NA NA 3181 NA NA NA NA NA NA
1533675600.0 1010.0 NA 37 45 0 NA NA NA NA 86 98 0 NA NA NA NA 116 201 149 NA NA NA NA 238 510 217 NA NA NA
1533675600.0 102.0 107 NA NA NA NA NA NA 161 NA NA NA NA NA NA 1350 NA NA NA NA NA NA 2556 NA NA NA NA NA NA
1533675600.0 1020.0 NA 79 33 0 75 NA NA NA 148 71 0 141 NA NA NA 257 106 79 257 NA NA NA 387 626 203 606 NA NA
