Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533762000.0 101.0 104 NA NA NA NA 161 NA NA NA NA 764 NA NA NA NA 1079 NA NA NA NA
1533762000.0 1010.0 NA 29 48 0 NA NA 86 99 0 NA NA 107 182 124 NA NA 406 674 186 NA
1533762000.0 102.0 92 NA NA NA NA 161 NA NA NA NA 687 NA NA NA NA 863 NA NA NA NA
1533762000.0 1020.0 NA 76 22 0 75 NA 148 71 0 148 NA 237 94 80 232 NA 379 272 1150 405
1533762000.0 1040.1 NA 81 39 0 NA NA 148 75 0 NA NA 462 110 114 NA NA 716 336 531 NA
1533762000.0 106.0 50 0 0 NA NA 107 0 0 NA NA 656 185 1309 NA NA 577 384 2247 NA NA
1533762000.0 13.0 NA 112 279 0 NA NA 592 412 0 NA NA 468 1999 474 NA NA 1308 2416 652 NA
1533762000.0 1325.5 NA 175 0 NA NA NA 267 0 NA NA NA 5207 152 NA NA NA 5493 315 NA NA
1533762000.0 1325.7 NA 170 0 NA NA NA 282 0 NA NA NA 3975 149 NA NA NA 5165 374 NA NA
1533762000.0 135.8 171 NA NA NA NA 260 NA NA NA NA 526 NA NA NA NA 557 NA NA NA NA
1533762000.0 136.7611 NA 173 0 NA NA NA 275 0 NA NA NA 5240 119 NA NA NA 6225 266 NA NA
1533762000.0 136.762 NA 96 401 0 NA NA 165 653 0 NA NA 634 20882 811 NA NA 740 8824 1476 NA
1533762000.0 136.7721 NA 170 0 NA NA NA 264 0 NA NA NA 4937 134 NA NA NA 6426 303 NA NA
1533762000.0 136.7801 NA 100 0 NA NA NA 167 0 NA NA NA 357 171 NA NA NA 854 268 NA NA
1533762000.0 136.7802 NA 114 0 NA NA NA 180 0 NA NA NA 358 193 NA NA NA 643 521 NA NA
1533762000.0 136.7803 NA 104 0 NA NA NA 180 0 NA NA NA 595 144 NA NA NA 1034 325 NA NA
1533762000.0 136.782 NA 119 412 0 NA NA 184 666 0 NA NA 743 16921 1155 NA NA 748 7510 1813 NA
1533762000.0 136.783 NA 119 442 0 NA NA 191 701 0 NA NA 571 19076 1157 NA NA 749 7617 1704 NA
1533762000.0 136.788 NA 119 439 0 NA NA 185 726 0 NA NA 567 18559 1145 NA NA 748 7545 1382 NA
1533762000.0 136.7952 NA 165 0 NA NA NA 267 0 NA NA NA 1562 122 NA NA NA 1513 231 NA NA
1533762000.0 136.815 NA 114 330 0 NA NA 183 522 0 NA NA 876 5025 1895 NA NA 927 5968 2641 NA
1533762000.0 136.827 NA 109 344 0 NA NA 193 488 0 NA NA 940 5201 1508 NA NA 1159 5730 1753 NA
1533762000.0 136.8311 NA 172 0 NA NA NA 274 0 NA NA NA 3949 271 NA NA NA 4478 578 NA NA
1533762000.0 136.843 NA 112 469 0 NA NA 191 734 0 NA NA 959 40507 1932 NA NA 1137 20299 2199 NA
1533762000.0 136.8521 NA 166 0 NA NA NA 274 0 NA NA NA 3306 266 NA NA NA 4174 583 NA NA
1533762000.0 136.858 NA 249 362 0 NA NA 352 533 0 NA NA 2714 5798 1927 NA NA 3005 6573 2175 NA
1533762000.0 136.87 NA 248 357 0 NA NA 357 532 0 NA NA 2928 6242 2419 NA NA 3163 7882 3248 NA
1533762000.0 158.0 74 142 343 0 NA 131 556 547 0 NA 4726 1410 3597 1927 NA 6251 1261 5424 2420 NA
1533762000.0 2017.8 152 NA NA NA NA 276 NA NA NA NA 613 NA NA NA NA 683 NA NA NA NA
1533762000.0 202.0 NA 170 346 0 NA NA 618 512 0 NA NA 1623 4355 680 NA NA 1388 5155 778 NA
1533762000.0 205.0 NA 174 340 0 NA NA 604 498 0 NA NA 1529 4305 997 NA NA 1564 6163 1484 NA
1533762000.0 280.0 137 100 271 0 NA 281 582 424 0 NA 5021 1129 3218 657 NA 3152 1150 4909 743 NA
1533762000.0 33.0 NA 137 281 0 NA NA 548 422 0 NA NA 1819 2399 468 NA NA 900 1987 509 NA
1533762000.0 4.22 NA 175 81 76 0 NA 267 129 138 0 NA 1043 222 283 293 NA 828 295 364 360
1533762000.0 503.0 38 0 NA NA NA 86 0 NA NA NA 386 265 NA NA NA 792 540 NA NA NA
1533762000.0 504.0 46 0 NA NA NA 87 0 NA NA NA 349 264 NA NA NA 729 542 NA NA NA
1533762000.0 505.0 37 0 NA NA NA 89 0 NA NA NA 396 252 NA NA NA 822 561 NA NA NA
1533762000.0 506.0 39 0 NA NA NA 88 0 NA NA NA 312 233 NA NA NA 633 505 NA NA NA
1533762000.0 507.0 42 0 NA NA NA 85 0 NA NA NA 409 241 NA NA NA 771 520 NA NA NA
1533762000.0 508.0 37 0 NA NA NA 86 0 NA NA NA 314 242 NA NA NA 685 542 NA NA NA
1533762000.0 509.0 37 0 NA NA NA 85 0 NA NA NA 268 271 NA NA NA 584 583 NA NA NA
1533762000.0 510.0 37 0 NA NA NA 87 0 NA NA NA 513 188 NA NA NA 940 454 NA NA NA
1533762000.0 512.0 21 42 0 NA NA 64 93 0 NA NA 2523 335 263 NA NA 20793 494 436 NA NA
1533762000.0 513.0 21 39 0 NA NA 63 94 0 NA NA 785 395 247 NA NA 2271 695 529 NA NA
1533762000.0 514.0 21 40 0 NA NA 63 94 0 NA NA 513 408 265 NA NA 1701 715 551 NA NA
1533762000.0 515.0 21 42 0 NA NA 63 91 0 NA NA 2543 296 264 NA NA 20511 522 506 NA NA
1533762000.0 516.0 21 40 0 NA NA 63 94 0 NA NA 793 408 197 NA NA 3156 767 461 NA NA
1533762000.0 517.0 20 40 0 NA NA 64 94 0 NA NA 1325 316 244 NA NA 2672 615 508 NA NA
1533762000.0 518.0 21 40 0 NA NA 63 91 0 NA NA 2496 307 237 NA NA 19973 603 486 NA NA
1533762000.0 519.0 19 39 0 NA NA 64 94 0 NA NA 829 365 244 NA NA 2123 691 525 NA NA
