Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533420000.0 10002.0 NA 104 299 0 71 NA NA 226 436 0 124 NA NA 589 3557 2115 1090 NA NA 794 3967 2291 1299 NA
1533420000.0 10025.0 NA 109 309 0 75 NA NA 226 436 0 124 NA NA 601 3648 2141 1115 NA NA 789 3972 2338 1618 NA
1533420000.0 10071.0 NA 113 304 0 73 NA NA 182 436 0 124 NA NA 665 3869 2182 1156 NA NA 968 4307 2405 1433 NA
1533420000.0 1010.0 NA 31 40 0 NA NA NA 82 95 0 NA NA NA 185 238 175 NA NA NA 313 445 268 NA NA
1533420000.0 1020.0 NA 70 25 0 69 NA NA 135 72 0 135 NA NA 424 158 127 442 NA NA 615 267 203 584 NA
1533420000.0 103.0 41 0 0 NA NA NA 101 0 0 NA NA NA 441 234 2541 NA NA NA 568 300 2872 NA NA NA
1533420000.0 1030.0 NA 139 38 0 0 NA NA 245 93 0 0 NA NA 8599 651 130 129 NA NA 9154 862 356 183 NA
1533420000.0 1040.0 NA 249 31 0 NA NA NA 366 76 0 NA NA NA 13745 182 189 NA NA NA 14138 276 298 NA NA
1533420000.0 1040.1 NA 69 30 0 NA NA NA 133 76 0 NA NA NA 1309 180 177 NA NA NA 1530 284 243 NA NA
1533420000.0 106.0 41 0 0 NA NA NA 101 0 0 NA NA NA 456 232 2552 NA NA NA 567 299 2829 NA NA NA
1533420000.0 107.0 63 78 233 NA NA NA 135 210 336 NA NA NA 2267 473 2908 NA NA NA 2460 597 3093 NA NA NA
1533420000.0 10801.0 NA 170 325 0 73 102 NA 280 500 0 137 165 NA 2373 4116 3084 1252 3053 NA 2866 4589 3282 1595 3568
1533420000.0 10802.0 NA 174 322 0 75 104 NA 279 500 0 137 165 NA 2389 4147 3129 1272 3073 NA 2896 5201 3340 1704 3360
1533420000.0 10803.0 NA 168 317 0 82 104 NA 279 500 0 137 165 NA 2390 4214 3143 1242 3104 NA 2845 4984 3286 1537 3361
1533420000.0 10804.0 NA 173 329 0 83 105 NA 280 500 0 137 185 NA 2328 4202 3081 1251 3108 NA 2837 5152 3210 1442 3276
1533420000.0 10807.0 NA 168 326 0 93 107 NA 280 500 0 153 165 NA 2409 4201 3149 1301 3016 NA 3255 4659 3316 1596 3246
1533420000.0 10809.0 NA 168 322 0 93 102 NA 279 500 0 153 165 NA 2425 4241 3153 1294 3090 NA 3280 4652 3290 1514 3424
1533420000.0 10824.0 NA 175 342 0 93 108 NA 325 500 0 153 165 NA 2519 4491 3286 1247 3154 NA 3391 5125 3975 1684 3557
1533420000.0 10824.6 NA 173 332 0 92 107 NA 325 500 0 153 165 NA 2557 4466 3242 1299 3058 NA 3402 4869 3422 1512 3194
1533420000.0 10825.0 NA 167 339 0 79 98 NA 281 501 0 137 165 NA 2437 4314 3238 1246 3098 NA 3312 4833 3404 1418 3277
1533420000.0 10826.0 NA 181 332 0 82 102 NA 326 501 0 137 165 NA 2569 4673 3269 1244 3134 NA 3449 5083 3484 1452 3397
1533420000.0 10842.0 NA 169 333 0 94 101 NA 326 501 0 153 165 NA 2491 4440 3173 1348 3076 NA 3376 5060 3289 1821 3265
1533420000.0 10871.0 NA 222 333 0 74 104 NA 326 501 0 137 165 NA 2155 3817 3077 1140 2722 NA 2546 4373 3343 1362 2855
1533420000.0 110.0 53 70 224 NA NA NA 110 210 336 NA NA NA 546 436 2905 NA NA NA 660 558 3425 NA NA NA
1533420000.0 11024.0 NA 269 450 0 100 NA NA 442 676 0 165 NA NA 6093 7725 3020 2778 NA NA 6953 8777 3122 2896 NA
1533420000.0 11024.6 NA 265 449 0 104 NA NA 442 676 0 165 NA NA 6087 7609 3184 2775 NA NA 7031 8724 3549 2894 NA
1533420000.0 11025.0 NA 266 450 0 102 NA NA 442 676 0 165 NA NA 5864 7425 3107 2774 NA NA 6526 8345 3348 2999 NA
1533420000.0 112.0 63 76 234 NA NA NA 135 210 336 NA NA NA 1602 440 2834 NA NA NA 1721 553 3260 NA NA NA
1533420000.0 114.0 63 70 225 NA NA NA 135 210 336 NA NA NA 1796 488 2924 NA NA NA 1984 623 3231 NA NA NA
1533420000.0 117.0 63 75 234 NA NA NA 135 210 336 NA NA NA 2623 491 2971 NA NA NA 3094 608 3267 NA NA NA
1533420000.0 118.0 65 71 238 NA NA NA 135 211 336 NA NA NA 2580 488 2968 NA NA NA 2785 621 3213 NA NA NA
1533420000.0 120.0 53 74 230 NA NA NA 116 204 336 NA NA NA 482 401 2754 NA NA NA 586 548 3148 NA NA NA
1533420000.0 122.0 63 68 223 NA NA NA 135 210 336 NA NA NA 546 370 3119 NA NA NA 768 544 3468 NA NA NA
1533420000.0 124.1 181 NA NA NA NA NA 298 NA NA NA NA NA 1936 NA NA NA NA NA 2335 NA NA NA NA NA
1533420000.0 124.4 181 NA NA NA NA NA 298 NA NA NA NA NA 1916 NA NA NA NA NA 2253 NA NA NA NA NA
1533420000.0 125.0 58 77 237 NA NA NA 135 210 336 NA NA NA 1919 513 3277 NA NA NA 2154 737 3710 NA NA NA
1533420000.0 126.0 52 71 225 NA NA NA 124 204 336 NA NA NA 867 490 3258 NA NA NA 1222 666 3834 NA NA NA
1533420000.0 127.0 50 71 226 NA NA NA 124 210 336 NA NA NA 992 492 3159 NA NA NA 1172 687 3600 NA NA NA
1533420000.0 128.0 52 84 224 NA NA NA 110 165 336 NA NA NA 534 471 3167 NA NA NA 690 607 3717 NA NA NA
1533420000.0 129.0 53 74 232 NA NA NA 110 210 336 NA NA NA 545 464 3124 NA NA NA 701 587 3555 NA NA NA
1533420000.0 131.0 52 82 228 NA NA NA 124 210 336 NA NA NA 924 495 3180 NA NA NA 1082 617 3535 NA NA NA
1533420000.0 132.0 62 77 223 NA NA NA 131 210 336 NA NA NA 2137 513 3365 NA NA NA 2407 659 3972 NA NA NA
1533420000.0 133.0 61 87 237 NA NA NA 135 210 336 NA NA NA 3231 535 3414 NA NA NA 3775 678 3727 NA NA NA
1533420000.0 134.813 NA 151 54 0 NA NA NA 242 112 0 NA NA NA 2002 663 696 NA NA NA 2334 800 805 NA NA
