Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1533589200.0 1325.5 NA 134 0 NA 226 0 NA 4984 342 NA 5504 385
1533589200.0 1325.51 NA 139 0 NA 226 0 NA 3592 342 NA 3998 415
1533589200.0 1325.6 NA 117 NA NA 199 NA NA 6187 NA NA 6622 NA
1533589200.0 1325.7 NA 119 0 NA 198 0 NA 5932 279 NA 6472 373
1533589200.0 1325.8 NA 123 0 NA 198 0 NA 6037 264 NA 6473 355
1533589200.0 1325.9 NA 106 0 NA 196 0 NA 4411 292 NA 4876 360
1533589200.0 135.11 197 0 102 299 0 179 3471 1000 2825 3990 1098 3095
1533589200.0 135.5 193 0 94 299 0 179 2729 890 2579 3060 982 2846
1533589200.0 135.8 92 NA NA 162 NA NA 1042 NA NA 1388 NA NA
1533589200.0 135.9 190 0 95 298 0 179 2698 849 2542 2922 952 2869
1533589200.0 2017.8 87 NA NA 162 NA NA 758 NA NA 954 NA NA
