Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1533420000.0 101.0 97 NA NA NA NA 170 NA NA NA NA 1434 NA NA NA NA 1702 NA NA NA NA
1533420000.0 102.0 91 NA NA NA NA 170 NA NA NA NA 1330 NA NA NA NA 2419 NA NA NA NA
1533420000.0 106.0 43 0 0 NA NA 106 0 0 NA NA 858 912 5576 NA NA 2115 1357 7201 NA NA
1533420000.0 10823.0 NA 203 NA NA NA NA 554 NA NA NA NA 2803 NA NA NA NA 3222 NA NA NA
1533420000.0 1102.0 NA 135 NA NA NA NA 601 NA NA NA NA 4007 NA NA NA NA 2593 NA NA NA
1533420000.0 1325.5 NA 173 0 NA NA NA 265 0 NA NA NA 6293 182 NA NA NA 7141 239 NA NA
1533420000.0 135.8 146 NA NA NA NA 249 NA NA NA NA 856 NA NA NA NA 1083 NA NA NA NA
1533420000.0 136.8311 NA 176 0 NA NA NA 276 0 NA NA NA 4133 193 NA NA NA 4822 321 NA NA
1533420000.0 24.0 NA 125 292 0 NA NA 548 434 0 NA NA 4004 9443 2291 NA NA 2811 9164 2968 NA
1533420000.0 25.0 NA 135 297 0 72 NA 601 459 0 140 NA 3482 11056 2212 2334 NA 1831 15301 2958 3046
1533420000.0 25402.0 482 0 122 NA NA 752 0 224 NA NA 8873 1186 4127 NA NA 9854 2055 6080 NA NA
1533420000.0 25406.0 444 0 122 NA NA 754 0 223 NA NA 6476 1048 4062 NA NA 10032 2182 7040 NA NA
1533420000.0 25407.0 405 0 124 NA NA 707 0 224 NA NA 7950 1006 4003 NA NA 9655 1882 7094 NA NA
1533420000.0 503.0 36 0 NA NA NA 90 0 NA NA NA 418 176 NA NA NA 918 270 NA NA NA
1533420000.0 509.0 37 0 NA NA NA 90 0 NA NA NA 357 188 NA NA NA 440 312 NA NA NA
1533420000.0 510.0 38 0 NA NA NA 90 0 NA NA NA 456 178 NA NA NA 863 283 NA NA NA
1533420000.0 511.0 41 0 NA NA NA 94 0 NA NA NA 13174 176 NA NA NA 15434 270 NA NA NA
1533420000.0 517.0 16 34 0 NA NA 70 97 0 NA NA 4021 409 188 NA NA 6571 767 298 NA NA
1533420000.0 518.0 16 40 0 NA NA 71 95 0 NA NA 2160 453 190 NA NA 10083 778 308 NA NA
1533420000.0 519.0 15 41 0 NA NA 70 96 0 NA NA 682 381 179 NA NA 1890 540 283 NA NA
1533420000.0 520.0 15 41 0 NA NA 70 97 0 NA NA 3999 404 176 NA NA 5191 993 279 NA NA
