Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1533589200.0 1001.0 NA 243 113 0 0 0 0 0 0 NA 386 198 0 0 0 0 0 0 NA 4291 1505 149 143 260 849 480 858 NA 3952 2020 325 363 573 1257 861 1227
1533589200.0 1002.0 NA 285 74 NA NA NA NA NA NA NA 429 143 NA NA NA NA NA NA NA 5489 1277 NA NA NA NA NA NA NA 5994 1958 NA NA NA NA NA NA
1533589200.0 1010.0 NA 33 36 0 NA NA NA NA NA NA 93 105 0 NA NA NA NA NA NA 181 306 251 NA NA NA NA NA NA 755 1222 441 NA NA NA NA NA
1533589200.0 1020.0 NA 72 26 0 77 NA NA NA NA NA 140 77 0 155 NA NA NA NA NA 405 165 119 405 NA NA NA NA NA 1062 487 171 676 NA NA NA NA
1533589200.0 1040.1 NA 80 32 0 NA NA NA NA NA NA 148 80 0 NA NA NA NA NA NA 1221 180 166 NA NA NA NA NA NA 1761 716 328 NA NA NA NA NA
1533589200.0 10823.0 NA 173 NA NA NA NA NA NA NA NA 691 NA NA NA NA NA NA NA NA 2946 NA NA NA NA NA NA NA NA 3444 NA NA NA NA NA NA NA
1533589200.0 1102.0 NA 129 284 155 65 NA NA NA NA NA 601 430 248 170 NA NA NA NA NA 2908 6589 2885 1137 NA NA NA NA NA 2283 5784 2383 1573 NA NA NA NA
1533589200.0 1325.5 NA 174 0 NA NA NA NA NA NA NA 268 0 NA NA NA NA NA NA NA 6656 191 NA NA NA NA NA NA NA 7450 651 NA NA NA NA NA NA
1533589200.0 1325.51 NA 157 0 NA NA NA NA NA NA NA 255 0 NA NA NA NA NA NA NA 3531 197 NA NA NA NA NA NA NA 4129 463 NA NA NA NA NA NA
1533589200.0 134.813 NA 169 65 0 NA NA NA NA NA NA 278 124 0 NA NA NA NA NA NA 1920 641 694 NA NA NA NA NA NA 2169 735 812 NA NA NA NA NA
1533589200.0 135.8 174 NA NA NA NA NA NA NA NA 256 NA NA NA NA NA NA NA NA 868 NA NA NA NA NA NA NA NA 1130 NA NA NA NA NA NA NA NA
1533589200.0 136.733 NA 178 68 0 NA NA NA NA NA NA 314 125 0 NA NA NA NA NA NA 2317 700 715 NA NA NA NA NA NA 2357 1577 925 NA NA NA NA NA
1533589200.0 136.7611 NA 174 0 NA NA NA NA NA NA NA 274 0 NA NA NA NA NA NA NA 7244 184 NA NA NA NA NA NA NA 8064 396 NA NA NA NA NA NA
1533589200.0 136.7721 NA 170 0 NA NA NA NA NA NA NA 275 0 NA NA NA NA NA NA NA 6919 189 NA NA NA NA NA NA NA 7958 511 NA NA NA NA NA NA
1533589200.0 136.7801 NA 95 0 NA NA NA NA NA NA NA 168 0 NA NA NA NA NA NA NA 1479 255 NA NA NA NA NA NA NA 2694 444 NA NA NA NA NA NA
1533589200.0 136.7802 NA 100 0 NA NA NA NA NA NA NA 187 0 NA NA NA NA NA NA NA 1423 300 NA NA NA NA NA NA NA 3293 584 NA NA NA NA NA NA
1533589200.0 136.7803 NA 94 0 NA NA NA NA NA NA NA 179 0 NA NA NA NA NA NA NA 1485 200 NA NA NA NA NA NA NA 2611 414 NA NA NA NA NA NA
1533589200.0 2017.11 334 0 124 NA NA NA NA NA NA 697 0 208 NA NA NA NA NA NA 2677 638 2623 NA NA NA NA NA NA 3006 969 2992 NA NA NA NA NA NA
1533589200.0 2017.4 303 0 120 NA NA NA NA NA NA 699 0 212 NA NA NA NA NA NA 2384 576 2550 NA NA NA NA NA NA 2585 707 3796 NA NA NA NA NA NA
1533589200.0 2017.8 182 NA NA NA NA NA NA NA NA 259 NA NA NA NA NA NA NA NA 845 NA NA NA NA NA NA NA NA 1025 NA NA NA NA NA NA NA NA
1533589200.0 202.0 NA 171 309 0 NA NA NA NA NA NA 613 491 0 NA NA NA NA NA NA 1007 4197 983 NA NA NA NA NA NA 1003 5130 1089 NA NA NA NA NA
1533589200.0 250407.0 293 0 126 NA NA NA NA NA NA 749 0 210 NA NA NA NA NA NA 2340 425 2468 NA NA NA NA NA NA 2948 740 3458 NA NA NA NA NA NA
1533589200.0 4.22 NA 168 71 71 0 NA NA NA NA NA 270 136 149 0 NA NA NA NA NA 2062 820 1026 396 NA NA NA NA NA 2108 893 1109 861 NA NA NA NA
1533589200.0 503.0 37 0 NA NA NA NA NA NA NA 90 0 NA NA NA NA NA NA NA 372 148 NA NA NA NA NA NA NA 649 206 NA NA NA NA NA NA NA
1533589200.0 504.0 37 0 NA NA NA NA NA NA NA 91 0 NA NA NA NA NA NA NA 384 148 NA NA NA NA NA NA NA 1353 199 NA NA NA NA NA NA NA
