Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1533675600.0 101.0 98 NA NA NA 170 NA NA NA 1180 NA NA NA 2554 NA NA NA
1533675600.0 102.0 98 NA NA NA 170 NA NA NA 1038 NA NA NA 2160 NA NA NA
1533675600.0 10806.0 NA 268 NA NA NA 692 NA NA NA 2476 NA NA NA 2612 NA NA
1533675600.0 11024.0 NA 387 NA NA NA 698 NA NA NA 6376 NA NA NA 18944 NA NA
1533675600.0 1325.5 NA 145 0 NA NA 265 0 NA NA 6697 201 NA NA 7623 354 NA
1533675600.0 1325.51 NA 157 0 NA NA 255 0 NA NA 3482 191 NA NA 4430 286 NA
1533675600.0 134.813 NA 172 63 0 NA 280 124 0 NA 1988 642 770 NA 2227 721 993
1533675600.0 135.8 162 NA NA NA 274 NA NA NA 957 NA NA NA 1192 NA NA NA
1533675600.0 2.0 108 108 218 NA 226 538 357 NA 5096 1108 4293 NA 2720 1173 6048 NA
1533675600.0 2017.8 165 NA NA NA 249 NA NA NA 977 NA NA NA 1037 NA NA NA
1533675600.0 2017.9 343 0 127 NA 703 0 207 NA 2398 548 2623 NA 3137 663 3096 NA
1533675600.0 4.28 NA 67 287 0 NA 143 426 0 NA 1417 6791 5096 NA 1838 7324 5792
