Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1532966400.0 1.0 64 75 158 NA NA NA NA NA NA 118 114 216 NA NA NA NA NA NA 3043 657 1900 NA NA NA NA NA NA 3428 1703 4148 NA NA NA NA NA NA
1532966400.0 10.0 NA 109 253 0 NA NA NA NA NA NA 182 309 0 NA NA NA NA NA NA 5872 8257 1416 NA NA NA NA NA NA 6955 9643 1559 NA NA NA NA NA
1532966400.0 1000.0 NA 243 152 0 48 NA NA NA NA NA 336 259 0 86 NA NA NA NA NA 6493 2883 1640 602 NA NA NA NA NA 12834 3645 3373 1198 NA NA NA NA
1532966400.0 10001.0 NA 101 300 0 71 NA NA NA NA NA 181 356 0 109 NA NA NA NA NA 896 3722 2985 575 NA NA NA NA NA 1767 13129 3714 1038 NA NA NA NA
1532966400.0 10002.0 NA 100 298 0 71 NA NA NA NA NA 181 356 0 109 NA NA NA NA NA 1068 3810 2969 582 NA NA NA NA NA 1567 14602 3889 839 NA NA NA NA
1532966400.0 10003.0 NA 103 299 0 78 NA NA NA NA NA 184 356 0 109 NA NA NA NA NA 962 3906 2948 505 NA NA NA NA NA 1664 14866 3678 688 NA NA NA NA
1532966400.0 10004.0 NA 100 294 0 83 NA NA NA NA NA 181 355 0 109 NA NA NA NA NA 936 3649 2967 479 NA NA NA NA NA 3260 14242 3570 583 NA NA NA NA
1532966400.0 10005.0 NA 102 298 0 75 NA NA NA NA NA 181 356 0 109 NA NA NA NA NA 922 3713 2985 514 NA NA NA NA NA 1918 13564 3613 637 NA NA NA NA
1532966400.0 10006.0 NA 104 293 0 78 NA NA NA NA NA 184 354 0 109 NA NA NA NA NA 965 3587 2988 507 NA NA NA NA NA 2426 14236 3376 709 NA NA NA NA
1532966400.0 10007.0 NA 103 300 0 71 NA NA NA NA NA 184 356 0 109 NA NA NA NA NA 1031 3927 2992 578 NA NA NA NA NA 1566 14580 4256 789 NA NA NA NA
1532966400.0 10008.0 NA 102 301 0 71 NA NA NA NA NA 184 357 0 109 NA NA NA NA NA 1156 3889 2982 630 NA NA NA NA NA 1936 14451 3867 1059 NA NA NA NA
1532966400.0 10009.0 NA 104 298 0 71 NA NA NA NA NA 184 357 0 109 NA NA NA NA NA 970 3884 3014 574 NA NA NA NA NA 2106 13936 3637 837 NA NA NA NA
1532966400.0 1001.0 NA 217 111 0 0 0 0 0 0 NA 293 149 0 0 0 0 0 0 NA 5720 1264 214 141 236 456 225 394 NA 9810 1944 421 677 792 1110 961 1128
1532966400.0 1001.2 NA 285 122 0 NA NA NA NA NA NA 364 163 0 NA NA NA NA NA NA 37395 4251 269 NA NA NA NA NA NA 44526 5797 1178 NA NA NA NA NA
1532966400.0 1002.0 NA 245 69 NA NA NA NA NA NA NA 331 115 NA NA NA NA NA NA NA 6817 882 NA NA NA NA NA NA NA 10184 1243 NA NA NA NA NA NA
1532966400.0 10023.0 NA 101 296 0 73 NA NA NA NA NA 182 357 0 109 NA NA NA NA NA 1122 3663 3011 500 NA NA NA NA NA 1635 13505 3805 629 NA NA NA NA
1532966400.0 10024.0 NA 108 304 0 72 NA NA NA NA NA 188 363 0 110 NA NA NA NA NA 1191 4479 3057 704 NA NA NA NA NA 1657 14980 3847 969 NA NA NA NA
1532966400.0 10024.1 NA 107 170 0 NA NA NA NA NA NA 188 210 0 NA NA NA NA NA NA 1256 1838 846 NA NA NA NA NA NA 3519 7891 938 NA NA NA NA NA
1532966400.0 10024.2 NA 109 301 0 NA NA NA NA NA NA 188 361 0 NA NA NA NA NA NA 1241 4368 2990 NA NA NA NA NA NA 2447 13623 3905 NA NA NA NA NA
1532966400.0 10024.3 NA 107 160 0 NA NA NA NA NA NA 188 201 0 NA NA NA NA NA NA 1205 1733 747 NA NA NA NA NA NA 2107 8220 1074 NA NA NA NA NA
1532966400.0 10024.4 NA 108 299 0 NA NA NA NA NA NA 188 359 0 NA NA NA NA NA NA 1182 4398 2931 NA NA NA NA NA NA 2061 14178 3820 NA NA NA NA NA
1532966400.0 10024.5 NA 108 86 0 NA NA NA NA NA NA 188 123 0 NA NA NA NA NA NA 1143 932 266 NA NA NA NA NA NA 4435 1868 302 NA NA NA NA NA
1532966400.0 10025.0 NA 121 302 0 71 NA NA NA NA NA 185 359 0 109 NA NA NA NA NA 1108 3975 3031 565 NA NA NA NA NA 2364 14702 4395 833 NA NA NA NA
1532966400.0 10026.0 NA 115 308 0 70 NA NA NA NA NA 195 374 0 110 NA NA NA NA NA 1226 5165 3073 695 NA NA NA NA NA 2616 15718 3841 1097 NA NA NA NA
1532966400.0 1003.0 NA 212 0 NA NA NA NA NA NA NA 292 0 NA NA NA NA NA NA NA 6964 1185 NA NA NA NA NA NA NA 11164 1969 NA NA NA NA NA NA
1532966400.0 1004.0 NA 188 95 0 0 0 0 NA NA NA 267 132 0 0 0 0 NA NA NA 1904 520 137 234 449 412 NA NA NA 5525 1356 646 781 841 981 NA NA
1532966400.0 10042.0 NA 105 300 0 71 NA NA NA NA NA 185 359 0 110 NA NA NA NA NA 1042 3951 3068 539 NA NA NA NA NA 2145 13978 3693 756 NA NA NA NA
1532966400.0 10059.0 NA 110 311 0 71 NA NA NA NA NA 193 372 0 110 NA NA NA NA NA 2160 5648 3052 599 NA NA NA NA NA 4894 14566 3548 901 NA NA NA NA
1532966400.0 10071.0 NA 121 302 0 72 NA NA NA NA NA 187 363 0 110 NA NA NA NA NA 1086 4268 3057 592 NA NA NA NA NA 2929 15503 4404 1082 NA NA NA NA
1532966400.0 101.0 95 NA NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA NA 2346 NA NA NA NA NA NA NA NA 2529 NA NA NA NA NA NA NA NA
1532966400.0 1010.0 NA 26 39 0 NA NA NA NA NA NA 101 75 0 NA NA NA NA NA NA 221 250 175 NA NA NA NA NA NA 788 1013 753 NA NA NA NA NA
1532966400.0 102.0 100 NA NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA NA 1944 NA NA NA NA NA NA NA NA 2138 NA NA NA NA NA NA NA NA
1532966400.0 1020.0 NA 40 25 0 55 NA NA NA NA NA 113 60 0 115 NA NA NA NA NA 501 191 111 466 NA NA NA NA NA 2264 764 635 1323 NA NA NA NA
1532966400.0 10224.0 NA 172 375 0 NA NA NA NA NA NA 254 480 0 NA NA NA NA NA NA 7209 9708 3096 NA NA NA NA NA NA 8776 17064 4804 NA NA NA NA NA
1532966400.0 10225.0 NA 172 370 0 NA NA NA NA NA NA 254 471 0 NA NA NA NA NA NA 6950 9186 3116 NA NA NA NA NA NA 8914 16097 4800 NA NA NA NA NA
1532966400.0 103.0 52 0 0 NA NA NA NA NA NA 95 0 0 NA NA NA NA NA NA 1161 291 3246 NA NA NA NA NA NA 1341 366 3773 NA NA NA NA NA NA
1532966400.0 1030.0 NA 146 40 0 0 NA NA NA NA NA 227 82 0 0 NA NA NA NA NA 21239 535 129 109 NA NA NA NA NA 25701 986 818 731 NA NA NA NA
1532966400.0 1040.0 NA 254 30 0 NA NA NA NA NA NA 335 62 0 NA NA NA NA NA NA 30820 252 253 NA NA NA NA NA NA 34303 736 1236 NA NA NA NA NA
1532966400.0 1040.1 NA 73 30 0 NA NA NA NA NA NA 149 62 0 NA NA NA NA NA NA 1058 256 249 NA NA NA NA NA NA 1628 712 1177 NA NA NA NA NA
1532966400.0 10424.0 NA 107 300 0 NA NA NA NA NA NA 187 362 0 NA NA NA NA NA NA 1166 4287 3079 NA NA NA NA NA NA 1867 15339 4681 NA NA NA NA NA
1532966400.0 105.0 69 84 48 NA NA NA NA NA NA 120 118 66 NA NA NA NA NA NA 3501 893 201 NA NA NA NA NA NA 4009 1093 237 NA NA NA NA NA NA
1532966400.0 106.0 53 0 0 NA NA NA NA NA NA 95 0 0 NA NA NA NA NA NA 1146 292 3218 NA NA NA NA NA NA 1388 374 3700 NA NA NA NA NA NA
1532966400.0 107.0 68 85 247 NA NA NA NA NA NA 122 120 293 NA NA NA NA NA NA 7571 950 4038 NA NA NA NA NA NA 7847 1176 4779 NA NA NA NA NA NA
1532966400.0 108.0 82 94 257 NA NA NA NA NA NA 123 120 295 NA NA NA NA NA NA 9758 1016 4223 NA NA NA NA NA NA 10475 1202 4844 NA NA NA NA NA NA
1532966400.0 10801.0 NA 183 328 0 80 NA NA NA NA NA 276 384 0 116 NA NA NA NA NA 3065 4257 5418 893 NA NA NA NA NA 7767 5891 7043 1236 NA NA NA NA
1532966400.0 10802.0 NA 185 330 0 81 NA NA NA NA NA 277 384 0 116 NA NA NA NA NA 3301 4330 5555 1146 NA NA NA NA NA 4470 6904 7478 1777 NA NA NA NA
1532966400.0 10803.0 NA 187 327 0 81 NA NA NA NA NA 278 385 0 116 NA NA NA NA NA 3108 4479 5434 910 NA NA NA NA NA 5166 6853 7073 1488 NA NA NA NA
1532966400.0 10804.0 NA 179 329 0 82 NA NA NA NA NA 275 383 0 116 NA NA NA NA NA 3966 4254 5277 1098 NA NA NA NA NA 6079 7076 7013 1803 NA NA NA NA
1532966400.0 10805.0 NA 183 330 0 80 NA NA NA NA NA 276 384 0 116 NA NA NA NA NA 3002 4338 5392 1206 NA NA NA NA NA 4570 7444 6902 1595 NA NA NA NA
1532966400.0 10806.0 NA 182 323 0 82 NA NA NA NA NA 276 383 0 116 NA NA NA NA NA 3221 4328 5259 1231 NA NA NA NA NA 5333 10153 6853 1603 NA NA NA NA
1532966400.0 10807.0 NA 185 331 0 90 NA NA NA NA NA 277 385 0 127 NA NA NA NA NA 4614 4335 5401 908 NA NA NA NA NA 5997 7685 6950 1686 NA NA NA NA
1532966400.0 10808.0 NA 187 328 0 91 NA NA NA NA NA 277 385 0 127 NA NA NA NA NA 4501 4533 5419 1249 NA NA NA NA NA 5567 10268 7385 1868 NA NA NA NA
1532966400.0 10809.0 NA 188 330 0 90 NA NA NA NA NA 278 386 0 127 NA NA NA NA NA 4543 4654 5357 1124 NA NA NA NA NA 5492 8772 7155 1955 NA NA NA NA
1532966400.0 10823.0 NA 180 326 0 79 NA NA NA NA NA 276 384 0 116 NA NA NA NA NA 4413 4250 5349 1255 NA NA NA NA NA 6305 6456 7460 1613 NA NA NA NA
1532966400.0 10824.0 NA 192 338 0 92 NA NA NA NA NA 289 398 0 129 NA NA NA NA NA 5256 5203 5454 956 NA NA NA NA NA 5754 9813 7152 1563 NA NA NA NA
1532966400.0 10824.1 NA 204 181 0 NA NA NA NA NA NA 289 221 0 NA NA NA NA NA NA 3707 2070 831 NA NA NA NA NA NA 7205 9796 925 NA NA NA NA NA
1532966400.0 10824.5 NA 196 98 0 NA NA NA NA NA NA 289 136 0 NA NA NA NA NA NA 3380 1305 273 NA NA NA NA NA NA 4625 6143 344 NA NA NA NA NA
1532966400.0 10824.6 NA 195 331 0 92 NA NA NA NA NA 289 398 0 129 NA NA NA NA NA 5190 5461 5498 1298 NA NA NA NA NA 5700 11902 7268 2118 NA NA NA NA
1532966400.0 10825.0 NA 192 326 0 81 NA NA NA NA NA 280 388 0 116 NA NA NA NA NA 3187 4742 5531 1274 NA NA NA NA NA 3829 11055 7522 1959 NA NA NA NA
1532966400.0 10826.0 NA 196 331 0 79 NA NA NA NA NA 290 399 0 117 NA NA NA NA NA 5079 5607 5242 1269 NA NA NA NA NA 5575 11993 6834 1654 NA NA NA NA
1532966400.0 10842.0 NA 188 335 0 91 NA NA NA NA NA 281 390 0 129 NA NA NA NA NA 3156 4719 5177 1278 NA NA NA NA NA 3383 8578 6722 1986 NA NA NA NA
1532966400.0 10859.0 NA 197 332 0 91 NA NA NA NA NA 289 398 0 128 NA NA NA NA NA 3580 6924 5375 1009 NA NA NA NA NA 4125 13821 7059 1708 NA NA NA NA
