Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533762000.0 1.0 65 75 164 NA NA NA 118 115 216 NA NA NA 3042 716 2086 NA NA NA 3747 1116 2596 NA NA NA
1533762000.0 10.0 NA 103 241 0 NA NA NA 180 304 0 NA NA NA 4754 7420 1338 NA NA NA 5263 8282 1513 NA NA
1533762000.0 10001.0 NA 107 316 0 77 NA NA 184 362 0 112 NA NA 990 4244 3250 593 NA NA 1265 4925 3536 818 NA
1533762000.0 10002.0 NA 108 312 0 85 NA NA 184 362 0 112 NA NA 996 4197 3267 580 NA NA 1247 4778 3552 783 NA
1533762000.0 10003.0 NA 109 322 0 77 NA NA 187 363 0 112 NA NA 1032 4299 3263 591 NA NA 1299 4926 3559 839 NA
1533762000.0 10004.0 NA 113 330 0 77 NA NA 184 362 0 112 NA NA 1000 4229 3245 557 NA NA 1258 4959 3493 691 NA
1533762000.0 10005.0 NA 107 315 0 77 NA NA 184 362 0 112 NA NA 991 4242 3263 575 NA NA 1248 4825 3513 725 NA
1533762000.0 10006.0 NA 123 313 0 77 NA NA 187 360 0 112 NA NA 1009 4179 3248 586 NA NA 1276 4914 3552 845 NA
1533762000.0 10007.0 NA 120 317 0 77 NA NA 187 363 0 112 NA NA 1140 4377 3304 588 NA NA 1648 5012 3597 816 NA
1533762000.0 10008.0 NA 127 323 0 83 NA NA 187 363 0 112 NA NA 1051 4357 3273 590 NA NA 1317 4939 3582 839 NA
1533762000.0 10009.0 NA 109 319 0 85 NA NA 187 363 0 112 NA NA 1080 4425 3266 580 NA NA 1360 5072 3552 791 NA
1533762000.0 10023.0 NA 109 318 0 77 NA NA 185 363 0 112 NA NA 1025 4184 3301 576 NA NA 1283 4779 3635 747 NA
1533762000.0 10024.0 NA 126 328 0 84 NA NA 191 369 0 113 NA NA 1350 5006 3344 622 NA NA 1638 5669 3661 838 NA
1533762000.0 10024.1 NA 114 182 0 NA NA NA 191 213 0 NA NA NA 1343 2008 932 NA NA NA 1704 2414 1033 NA NA
1533762000.0 10024.2 NA 132 318 0 NA NA NA 191 367 0 NA NA NA 1329 4977 3452 NA NA NA 1551 5706 3669 NA NA
1533762000.0 10024.3 NA 116 173 0 NA NA NA 191 204 0 NA NA NA 1322 1953 835 NA NA NA 1571 2365 948 NA NA
1533762000.0 10024.4 NA 116 314 0 NA NA NA 191 365 0 NA NA NA 1343 4989 3454 NA NA NA 1571 5578 3685 NA NA
1533762000.0 10024.5 NA 123 108 0 NA NA NA 191 125 0 NA NA NA 1347 1079 300 NA NA NA 1576 1427 355 NA NA
1533762000.0 10025.0 NA 110 316 0 77 NA NA 188 365 0 112 NA NA 1163 4454 3399 618 NA NA 1439 5069 3618 869 NA
1533762000.0 10026.0 NA 122 325 0 78 NA NA 198 380 0 113 NA NA 1409 6047 3385 638 NA NA 1684 6774 3715 842 NA
1533762000.0 10042.0 NA 128 334 0 81 NA NA 188 366 0 113 NA NA 1151 4581 3332 594 NA NA 1461 5216 3601 804 NA
1533762000.0 10059.0 NA 122 322 0 77 NA NA 196 379 0 113 NA NA 1578 6853 3349 637 NA NA 1849 7860 3663 899 NA
1533762000.0 10071.0 NA 116 326 0 77 NA NA 190 369 0 113 NA NA 1282 4845 3420 622 NA NA 1585 5539 3698 860 NA
1533762000.0 101.0 88 NA NA NA NA NA 146 NA NA NA NA NA 2043 NA NA NA NA NA 2325 NA NA NA NA NA
1533762000.0 102.0 89 NA NA NA NA NA 146 NA NA NA NA NA 1734 NA NA NA NA NA 2118 NA NA NA NA NA
1533762000.0 10224.0 NA 179 392 0 NA NA NA 256 482 0 NA NA NA 6823 11431 3527 NA NA NA 9430 12732 3806 NA NA
1533762000.0 10225.0 NA 179 388 0 NA NA NA 256 476 0 NA NA NA 6770 10625 3499 NA NA NA 7362 11885 3764 NA NA
1533762000.0 103.0 49 0 0 NA NA NA 93 0 0 NA NA NA 1058 286 2854 NA NA NA 1302 413 3475 NA NA NA
1533762000.0 10424.0 NA 131 323 0 NA NA NA 189 368 0 NA NA NA 1269 4927 3430 NA NA NA 1723 6005 3711 NA NA
1533762000.0 105.0 65 75 37 NA NA NA 118 116 64 NA NA NA 3036 765 210 NA NA NA 3472 1068 249 NA NA NA
1533762000.0 106.0 49 0 0 NA NA NA 93 0 0 NA NA NA 1070 284 2886 NA NA NA 1343 363 3604 NA NA NA
1533762000.0 107.0 64 77 232 NA NA NA 121 118 288 NA NA NA 6766 850 3529 NA NA NA 7452 1058 4081 NA NA NA
1533762000.0 108.0 66 75 230 NA NA NA 121 117 290 NA NA NA 8051 903 3897 NA NA NA 8937 1160 4504 NA NA NA
