Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1532210400.0 1.0 93 83 169 NA NA NA NA NA 186 367 281 NA NA NA NA NA 1456 531 969 NA NA NA NA NA 1381 586 1565 NA NA NA NA NA
1532210400.0 10.0 NA 121 446 0 NA NA NA NA NA 375 537 0 NA NA NA NA NA 2181 3108 500 NA NA NA NA NA 1319 2099 593 NA NA NA NA
1532210400.0 1000.0 NA 399 161 0 48 NA NA NA NA 496 261 0 90 NA NA NA NA 3130 1347 618 321 NA NA NA NA 4006 2030 818 485 NA NA NA
1532210400.0 10001.0 NA 219 570 89 0 NA NA NA NA 478 800 136 0 NA NA NA NA 1422 2377 408 2011 NA NA NA NA 1923 2586 594 2333 NA NA NA
1532210400.0 10002.0 NA 204 582 84 0 NA NA NA NA 473 793 136 0 NA NA NA NA 1533 2556 486 1943 NA NA NA NA 2002 5358 1082 2046 NA NA NA
1532210400.0 10003.0 NA 205 632 85 0 NA NA NA NA 467 795 135 0 NA NA NA NA 1581 2555 419 2022 NA NA NA NA 2006 3123 978 2385 NA NA NA
1532210400.0 10004.0 NA 210 404 85 0 NA NA NA NA 475 800 134 0 NA NA NA NA 1418 2564 401 1925 NA NA NA NA 2163 3197 550 2028 NA NA NA
1532210400.0 10005.0 NA 213 622 84 0 NA NA NA NA 475 790 136 0 NA NA NA NA 1442 2495 411 1927 NA NA NA NA 2286 4028 653 2107 NA NA NA
1532210400.0 10006.0 NA 195 573 84 0 NA NA NA NA 474 796 135 0 NA NA NA NA 1453 2566 485 1971 NA NA NA NA 2086 5359 1057 2129 NA NA NA
1532210400.0 10007.0 NA 209 621 95 0 NA NA NA NA 467 799 145 0 NA NA NA NA 1560 2482 441 1904 NA NA NA NA 1984 3637 936 2010 NA NA NA
1532210400.0 10008.0 NA 215 603 95 0 NA NA NA NA 475 800 145 0 NA NA NA NA 1557 2511 423 1937 NA NA NA NA 1982 4056 649 2295 NA NA NA
1532210400.0 10009.0 NA 219 538 96 0 NA NA NA NA 481 800 145 0 NA NA NA NA 1428 2619 430 1924 NA NA NA NA 2760 3306 590 2072 NA NA NA
1532210400.0 1001.0 NA 362 179 0 0 0 0 0 NA 450 231 0 0 0 0 0 NA 2698 505 70 88 247 118 242 NA 2679 1361 164 161 324 182 357
1532210400.0 1002.0 NA 392 68 NA NA NA NA NA NA 481 124 NA NA NA NA NA NA 3422 434 NA NA NA NA NA NA 3415 425 NA NA NA NA NA
1532210400.0 10023.0 NA 218 633 83 0 NA NA NA NA 470 803 135 0 NA NA NA NA 1254 2212 375 1718 NA NA NA NA 3158 4384 715 1875 NA NA NA
1532210400.0 10024.0 NA 243 654 97 0 NA NA NA NA 468 815 147 0 NA NA NA NA 1498 2535 431 1772 NA NA NA NA 2389 4304 1512 1872 NA NA NA
