Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1533718800.0 1020.0 NA 43 NA NA 110 NA NA 253 NA NA 635 NA
1533718800.0 1325.5 NA 166 0 NA 279 0 NA 4632 160 NA 5020 651
1533718800.0 1325.7 NA 138 0 NA 213 0 NA 2538 132 NA 4976 225
1533718800.0 135.8 146 NA NA 237 NA NA 404 NA NA 678 NA NA
1533718800.0 541.0 50 0 NA 89 0 NA 188 125 NA 296 193 NA
1533718800.0 552.0 16 38 0 138 82 0 1586 186 146 2351 439 778
1533718800.0 554.0 16 43 0 138 82 0 2707 177 147 3556 275 778
1533718800.0 556.0 16 43 0 138 82 0 432 185 126 967 299 195
1533718800.0 560.0 42 0 NA 79 0 NA 179 146 NA 519 576 NA
1533718800.0 561.0 38 0 NA 79 0 NA 171 141 NA 303 606 NA
