Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533589200.0 101.0 97 NA NA NA NA NA 161 NA NA NA NA NA 1329 NA NA NA NA NA 2121 NA NA NA NA NA
1533589200.0 102.0 87 NA NA NA NA NA 161 NA NA NA NA NA 1189 NA NA NA NA NA 2033 NA NA NA NA NA
1533589200.0 1020.0 NA 77 34 0 72 NA NA 140 72 0 139 NA NA 221 87 61 257 NA NA 448 140 166 1128 NA
1533589200.0 103.0 78 99 267 NA NA NA 158 585 386 NA NA NA 2891 596 2689 NA NA NA 2465 585 4206 NA NA NA
1533589200.0 1040.1 NA 82 34 0 NA NA NA 145 76 0 NA NA NA 444 120 108 NA NA NA 622 356 163 NA NA
1533589200.0 106.0 50 0 0 NA NA NA 105 0 0 NA NA NA 1095 306 2711 NA NA NA 1241 370 5491 NA NA NA
1533589200.0 10871.0 NA 277 402 0 96 154 NA 702 626 0 146 232 NA 1781 2102 1896 351 875 NA 1845 2277 1974 534 940
1533589200.0 122.0 50 0 0 NA NA NA 108 0 0 NA NA NA 691 270 1247 NA NA NA 580 235 1452 NA NA NA
1533589200.0 13.0 NA 103 277 0 NA NA NA 548 410 0 NA NA NA 1112 4309 847 NA NA NA 1748 6477 1047 NA NA
1533589200.0 1325.5 NA 164 0 NA NA NA NA 262 0 NA NA NA NA 4995 144 NA NA NA NA 5556 354 NA NA NA
1533589200.0 1325.51 NA 159 0 NA NA NA NA 235 0 NA NA NA NA 1854 128 NA NA NA NA 2398 202 NA NA NA
1533589200.0 1325.7 NA 170 0 NA NA NA NA 261 0 NA NA NA NA 3667 117 NA NA NA NA 5176 194 NA NA NA
1533589200.0 134.807 NA 148 390 0 NA NA NA 234 575 0 NA NA NA 1049 7123 741 NA NA NA 612 3328 811 NA NA
1533589200.0 134.99601 NA 44 348 0 NA NA NA 105 485 0 NA NA NA 254 6857 617 NA NA NA 270 3368 774 NA NA
1533589200.0 135.8 163 NA NA NA NA NA 261 NA NA NA NA NA 466 NA NA NA NA NA 487 NA NA NA NA NA
1533589200.0 136.76 NA 99 368 0 NA NA NA 172 570 0 NA NA NA 634 16943 820 NA NA NA 926 6339 873 NA NA
1533589200.0 136.761 NA 100 399 0 NA NA NA 155 656 0 NA NA NA 605 19101 782 NA NA NA 926 9772 862 NA NA
1533589200.0 136.7611 NA 177 0 NA NA NA NA 280 0 NA NA NA NA 5406 137 NA NA NA NA 8089 839 NA NA NA
1533589200.0 136.7721 NA 173 0 NA NA NA NA 264 0 NA NA NA NA 5118 167 NA NA NA NA 7925 975 NA NA NA
1533589200.0 2017.8 184 NA NA NA NA NA 261 NA NA NA NA NA 415 NA NA NA NA NA 525 NA NA NA NA NA
